Vorname,Anzahl,Geschlecht,Jahr,Bezirk
Marie,118,w,2014,charlottenburg-wilmersdorf.csv
Sophie,92,w,2014,charlottenburg-wilmersdorf.csv
Charlotte,76,w,2014,charlottenburg-wilmersdorf.csv
Maria,73,w,2014,charlottenburg-wilmersdorf.csv
Maximilian,66,m,2014,charlottenburg-wilmersdorf.csv
Alexander,53,m,2014,charlottenburg-wilmersdorf.csv
Emilia,52,w,2014,charlottenburg-wilmersdorf.csv
Elisabeth,50,w,2014,charlottenburg-wilmersdorf.csv
Paul,49,m,2014,charlottenburg-wilmersdorf.csv
Anna,49,w,2014,charlottenburg-wilmersdorf.csv
Elias,47,m,2014,charlottenburg-wilmersdorf.csv
Johanna,47,w,2014,charlottenburg-wilmersdorf.csv
Sophia,47,w,2014,charlottenburg-wilmersdorf.csv
Jakob,45,m,2014,charlottenburg-wilmersdorf.csv
Noah,44,m,2014,charlottenburg-wilmersdorf.csv
Anton,43,m,2014,charlottenburg-wilmersdorf.csv
Emil,43,m,2014,charlottenburg-wilmersdorf.csv
Jonathan,43,m,2014,charlottenburg-wilmersdorf.csv
Emma,41,w,2014,charlottenburg-wilmersdorf.csv
David,40,m,2014,charlottenburg-wilmersdorf.csv
Moritz,40,m,2014,charlottenburg-wilmersdorf.csv
Clara,35,w,2014,charlottenburg-wilmersdorf.csv
Luise,35,w,2014,charlottenburg-wilmersdorf.csv
Leonard,34,m,2014,charlottenburg-wilmersdorf.csv
Jonas,33,m,2014,charlottenburg-wilmersdorf.csv
Ella,33,w,2014,charlottenburg-wilmersdorf.csv
Luisa,33,w,2014,charlottenburg-wilmersdorf.csv
Benjamin,32,m,2014,charlottenburg-wilmersdorf.csv
Oskar,32,m,2014,charlottenburg-wilmersdorf.csv
Mira,31,w,2014,charlottenburg-wilmersdorf.csv
Julian,30,m,2014,charlottenburg-wilmersdorf.csv
Helene,29,w,2014,charlottenburg-wilmersdorf.csv
Louis,27,m,2014,charlottenburg-wilmersdorf.csv
Helena,27,w,2014,charlottenburg-wilmersdorf.csv
Philipp,27,m,2014,charlottenburg-wilmersdorf.csv
Marlene,27,w,2014,charlottenburg-wilmersdorf.csv
Mia,27,w,2014,charlottenburg-wilmersdorf.csv
Ali,26,m,2014,charlottenburg-wilmersdorf.csv
Friedrich,26,m,2014,charlottenburg-wilmersdorf.csv
Julius,26,m,2014,charlottenburg-wilmersdorf.csv
Sofia,25,w,2014,charlottenburg-wilmersdorf.csv
Felix,25,m,2014,charlottenburg-wilmersdorf.csv
Vincent,25,m,2014,charlottenburg-wilmersdorf.csv
Hannah,24,w,2014,charlottenburg-wilmersdorf.csv
Johannes,24,m,2014,charlottenburg-wilmersdorf.csv
Theodor,24,m,2014,charlottenburg-wilmersdorf.csv
Valentin,24,m,2014,charlottenburg-wilmersdorf.csv
Antonia,23,w,2014,charlottenburg-wilmersdorf.csv
Elise,23,w,2014,charlottenburg-wilmersdorf.csv
Emily,23,w,2014,charlottenburg-wilmersdorf.csv
Victoria,23,w,2014,charlottenburg-wilmersdorf.csv
Lukas,23,m,2014,charlottenburg-wilmersdorf.csv
Lara,22,w,2014,charlottenburg-wilmersdorf.csv
Lina,22,w,2014,charlottenburg-wilmersdorf.csv
Joshua,22,m,2014,charlottenburg-wilmersdorf.csv
Max,22,m,2014,charlottenburg-wilmersdorf.csv
