Vorname,Anzahl,Geschlecht,Position,Jahr,Bezirk
Marie,72,w,2,2017,charlottenburg-wilmersdorf.csv
Sophie,70,w,2,2017,charlottenburg-wilmersdorf.csv
Maria,50,w,2,2017,charlottenburg-wilmersdorf.csv
Alexander,43,m,2,2017,charlottenburg-wilmersdorf.csv
Noah,43,m,1,2017,charlottenburg-wilmersdorf.csv
Emilia,42,w,1,2017,charlottenburg-wilmersdorf.csv
Charlotte,36,w,2,2017,charlottenburg-wilmersdorf.csv
Emma,36,w,1,2017,charlottenburg-wilmersdorf.csv
Anton,35,m,1,2017,charlottenburg-wilmersdorf.csv
Emil,35,m,1,2017,charlottenburg-wilmersdorf.csv
Anna,33,w,1,2017,charlottenburg-wilmersdorf.csv
Ella,32,w,1,2017,charlottenburg-wilmersdorf.csv
Maximilian,31,m,2,2017,charlottenburg-wilmersdorf.csv
Felix,30,m,1,2017,charlottenburg-wilmersdorf.csv
Charlotte,30,w,1,2017,charlottenburg-wilmersdorf.csv
Mila,30,w,1,2017,charlottenburg-wilmersdorf.csv
Sophia,29,w,1,2017,charlottenburg-wilmersdorf.csv
Jakob,27,m,1,2017,charlottenburg-wilmersdorf.csv
Maximilian,27,m,1,2017,charlottenburg-wilmersdorf.csv
Mia,27,w,1,2017,charlottenburg-wilmersdorf.csv
Helena,26,w,1,2017,charlottenburg-wilmersdorf.csv
Jonas,25,m,1,2017,charlottenburg-wilmersdorf.csv
Theodor,25,m,1,2017,charlottenburg-wilmersdorf.csv
Hannah,25,w,1,2017,charlottenburg-wilmersdorf.csv
Jonathan,24,m,1,2017,charlottenburg-wilmersdorf.csv
Lara,24,w,1,2017,charlottenburg-wilmersdorf.csv
Luise,23,w,2,2017,charlottenburg-wilmersdorf.csv
Julian,23,m,1,2017,charlottenburg-wilmersdorf.csv
Paul,23,m,1,2017,charlottenburg-wilmersdorf.csv
Lea,23,w,1,2017,charlottenburg-wilmersdorf.csv
Elias,22,m,2,2017,charlottenburg-wilmersdorf.csv
Adam,22,m,1,2017,charlottenburg-wilmersdorf.csv
Elias,22,m,1,2017,charlottenburg-wilmersdorf.csv
Lina,22,w,1,2017,charlottenburg-wilmersdorf.csv
Leonard,22,m,1,2017,charlottenburg-wilmersdorf.csv
Marie,22,w,1,2017,charlottenburg-wilmersdorf.csv
Mathilda,22,w,1,2017,charlottenburg-wilmersdorf.csv
Sophia,21,w,2,2017,charlottenburg-wilmersdorf.csv
Henry,21,m,1,2017,charlottenburg-wilmersdorf.csv
Liam,21,m,1,2017,charlottenburg-wilmersdorf.csv
Clara,20,w,1,2017,charlottenburg-wilmersdorf.csv
Julius,20,m,1,2017,charlottenburg-wilmersdorf.csv
Mira,20,w,1,2017,charlottenburg-wilmersdorf.csv
Louis,20,m,1,2017,charlottenburg-wilmersdorf.csv
Oskar,20,m,1,2017,charlottenburg-wilmersdorf.csv
Theo,20,m,1,2017,charlottenburg-wilmersdorf.csv
Greta,19,w,1,2017,charlottenburg-wilmersdorf.csv
Johanna,19,w,1,2017,charlottenburg-wilmersdorf.csv
