anzahl;vorname;geschlecht;position
66;Sophie;w;2
58;Marie;w;2
46;Maria;w;2
40;Noah;m;1
39;Maximilian;m;2
35;Emil;m;1
34;Emilia;w;1
31;Ella;w;1
31;Jakob;m;1
31;Mila;w;1
31;Leon;m;1
30;Alexander;m;2
29;Charlotte;w;1
28;Maximilian;m;1
27;Charlotte;w;2
26;Emma;w;1
26;Paul;m;1
26;Mia;w;1
26;Sophie;w;1
25;Paul;m;2
24;Theodor;m;1
23;Alexander;m;1
23;Ida;w;1
23;Jonathan;m;1
23;Sophia;w;1
23;Leonard;m;1
23;Theo;m;1
22;Jonas;m;1
21;Friedrich;m;2
21;Anna;w;1
21;Lea;w;1
20;Clara;w;1
20;Anton;m;1
20;Helena;w;1
20;David;m;1
20;Lara;w;1
20;Elias;m;1
20;Leo;m;1
20;Luca;m;1
19;Elias;m;2
19;Emilia;w;2
19;Lena;w;1
19;Ilyas;m;1
18;Alma;w;1
18;Hanna;w;1
18;Hannah;w;1
17;Elisabeth;w;2
17;Felix;m;1
17;Amelie;w;1
17;Louis;m;1
17;Laura;w;1
17;Lukas;m;1
17;Mathilda;w;1
17;Oskar;m;1
17;Mira;w;1
17;Paula;w;1
16;Marie;w;3
16;Sophia;w;2
16;Henry;m;1
16;Leopold;m;1
16;Johanna;w;1
16;Levi;m;1
16;Lina;w;1
16;Max;m;1
16;Nora;w;1
16;Samuel;m;1
15;Johanna;w;2
15;Marie;w;1
15;Karl;m;1
15;Maya;w;1
15;Liam;m;1
15;Sofia;w;1
15;Matteo;m;1
15;Milan;m;1
14;Anton;m;2
14;Karl;m;2
14;Luise;w;2
14;Emily;w;1
14;Greta;w;1
14;Adam;m;1
14;Lia;w;1
14;Arthur;m;1
14;Liya;w;1
14;Benjamin;m;1
14;Daniel;m;1
14;Vincent;m;1
13;Theodor;m;2
13;Carla;w;1
13;Ela;w;1
13;Isabella;w;1
13;Ben;m;1
13;Leni;w;1
13;Bruno;m;1
13;Carl;m;1
13;Jonah;m;1
13;Justus;m;1
13;Raphael;m;1
12;Anna;w;2
12;Katharina;w;2
12;Antonia;w;1
12;Olivia;w;1
12;Stella;w;1
12;Benedikt;m;1
12;Friedrich;m;1
12;Jan;m;1
12;Jasper;m;1
12;Julius;m;1
12;Mika;m;1
12;Milo;m;1
12;Moritz;m;1
11;Arthur;m;2
11;Emil;m;2
11;Valentin;m;2
11;Marlene;w;2
11;Valentina;w;2
11;Elisa;w;1
11;Victoria;w;1
11;Adrian;m;1
11;Finn;m;1
11;Henri;m;1
11;Linus;m;1
11;Maxim;m;1
11;Niklas;m;1
10;Ali;m;2
10;Gabriel;m;2
10;Louis;m;2
10;Clara;w;2
10;Michael;m;2
10;Elisa;w;2
10;Elise;w;2
10;Lucia;w;2
10;Luisa;w;2
10;Pauline;w;2
10;Ava;w;1
10;Carlotta;w;1
10;Elif;w;1
10;Elisabeth;w;1
10;Frieda;w;1
10;Julia;w;1
10;Mina;w;1
10;Tilda;w;1
10;Aaron;m;1
10;Gabriel;m;1
10;Johann;m;1
9;Maria;w;3
9;Sophie;w;3
9;Benjamin;m;2
9;Johannes;m;2
9;Leonard;m;2
9;Noah;m;2
9;Philipp;m;2
9;Mia;w;2
9;Wilhelm;m;2
9;Victoria;w;2
9;Leonie;w;1
9;Leyla;w;1
9;Luise;w;1
9;Maria;w;1
9;Nele;w;1
9;Valentina;w;1
9;Amir;m;1
9;Erik;m;1
9;Hugo;m;1
9;Joris;m;1
9;Joshua;m;1
9;Leonardo;m;1
9;Oliver;m;1
9;Tom;m;1
9;Yusuf;m;1
8;Can;m;2
8;Amalia;w;2
8;Constantin;m;2
8;Su;w;2
8;Felix;m;2
8;Henri;m;2
8;Jonathan;m;2
8;Leander;m;2
8;Luis;m;2
8;Robert;m;2
8;Cleo;w;1
8;Elena;w;1
8;Eva;w;1
8;Frida;w;1
8;Juna;w;1
8;Klara;w;1
8;Lilly;w;1
8;Lotta;w;1
8;Luisa;w;1
8;Marlene;w;1
8;Martha;w;1
8;Paulina;w;1
8;Ali;m;1
8;Rosa;w;1
8;Fritz;m;1
8;Sara;w;1
8;Johannes;m;1
8;Zoe;w;1
8;Julian;m;1
8;Lasse;m;1
8;Luis;m;1
8;Mattis;m;1
8;Michael;m;1
8;Oscar;m;1
8;Yunus;m;1
7;Carlotta;w;2
7;Isabella;w;2
7;Liya;w;2
7;Nur;w;2
7;Sofie;w;2
7;Aaron;m;2
7;David;m;2
7;Julius;m;2
7;Leopold;m;2
7;Richard;m;2
7;Samuel;m;2
7;Alisa;w;1
7;Amalia;w;1
7;Elise;w;1
7;Leah;w;1
7;Livia;w;1
7;Luna;w;1
7;Mara;w;1
7;Albert;m;1
7;Rosalie;w;1
7;Georg;m;1
7;Sarah;w;1
7;Kian;m;1
7;Yuna;w;1
7;Levin;m;1
7;Lio;m;1
7;Malik;m;1
7;Mateo;m;1
7;Mio;m;1
7;Ole;m;1
7;Timur;m;1
7;Tobias;m;1
7;Valentin;m;1
6;Elisabeth;w;3
6;Antonia;w;2
6;Emma;w;2
6;Helene;w;2
6;Lea;w;2
6;Lina;w;2
6;Louise;w;2
6;Magdalena;w;2
6;Albert;m;2
6;Mathilda;w;2
6;Christian;m;2
6;Mina;w;2
6;Franz;m;2
6;Sofia;w;2
6;Gustav;m;2
6;Konstantin;m;2
6;Levi;m;2
6;Otto;m;2
6;Pepe;m;2
6;Amira;w;1
6;Elin;w;1
6;Elsa;w;1
6;Fiona;w;1
6;Helene;w;1
6;Karla;w;1
6;Lisa;w;1
6;Liv;w;1
6;Maja;w;1
6;Jaron;m;1
6;Marla;w;1
6;Kiyan;m;1
6;Mona;w;1
6;Konstantin;m;1
6;Nils;m;1
6;Rafael;m;1
6;Rio;m;1
6;Tim;m;1
6;Toni;m;1
6;William;m;1
6;Yasin;m;1
6;Ömer;m;1
5;Friedrich;m;3
5;Peter;m;3
5;Walter;m;3
5;Charlotte;w;3
5;Alexandra;w;2
5;Ava;w;2
5;Emilie;w;2
5;Eva;w;2
5;Ida;w;2
5;Benedikt;m;2
5;Josephine;w;2
5;Bruno;m;2
5;Leni;w;2
5;Carl;m;2
5;Margarete;w;2
5;Caspar;m;2
5;Mathilde;w;2
5;Daniel;m;2
5;Matilda;w;2
5;Elia;m;2
5;Nisa;w;2
5;Frederik;m;2
5;Olivia;w;2
5;Hans;m;2
5;Rose;w;2
5;Jacob;m;2
5;Viktoria;w;2
5;Jakob;m;2
5;Jan;m;2
5;Josef;m;2
5;Konrad;m;2
5;Leon;m;2
5;Lukas;m;2
5;Max;m;2
5;Noel;m;2
5;Oscar;m;2
5;Oskar;m;2
5;Peter;m;2
5;Raphael;m;2
5;Ada;w;1
5;Aliya;w;1
5;Aliyah;w;1
5;Alva;w;1
5;Amelia;w;1
5;Anastasia;w;1
5;Ariana;w;1
5;Azra;w;1
5;Edda;w;1
5;Adem;m;1
5;Fatima;w;1
5;Can;m;1
5;Karlotta;w;1
5;Carlo;m;1
5;Linda;w;1
5;Caspar;m;1
5;Linnea;w;1
5;Clemens;m;1
5;Lola;w;1
5;Damian;m;1
5;Louise;w;1
5;Emilian;m;1
5;Malia;w;1
5;Fabian;m;1
5;Mayla;w;1
5;Franz;m;1
5;Melina;w;1
5;Frederick;m;1
5;Merle;w;1
5;Hamza;m;1
5;Milena;w;1
5;Hannes;m;1
5;Noa;w;1
5;Hans;m;1
5;Noemi;w;1
5;Johan;m;1
5;John;m;1
5;Karim;m;1
5;Laurin;m;1
5;Leander;m;1
5;Lennard;m;1
5;Luan;m;1
5;Luka;m;1
5;Mert;m;1
5;Mohammad;m;1
5;Musa;m;1
5;Robin;m;1
5;Titus;m;1
5;Victor;m;1
4;Johannes;m;3
4;Leonard;m;3
4;Paul;m;3
4;Richard;m;3
4;Elena;w;2
4;Frida;w;2
4;Jasmin;w;2
4;Leonie;w;2
4;Lia;w;2
4;Lotta;w;2
4;Malou;w;2
4;Marianne;w;2
4;Maya;w;2
4;Minou;w;2
4;Noemi;w;2
4;Philine;w;2
4;Adrian;m;2
4;Renate;w;2
4;August;m;2
4;Rita;w;2
4;Erik;m;2
4;Rosa;w;2
4;Ferdinand;m;2
4;Rosalie;w;2
4;Finn;m;2
4;Stella;w;2
4;Fritz;m;2
4;Georg;m;2
4;Gregor;m;2
4;Heinrich;m;2
4;Henry;m;2
4;Hugo;m;2
4;Isaac;m;2
4;Johann;m;2
4;Jona;m;2
4;Jonas;m;2
4;Julian;m;2
4;Justus;m;2
4;Levin;m;2
4;Liam;m;2
4;Lucas;m;2
4;Mio;m;2
4;Nicolas;m;2
4;Niklas;m;2
4;Ole;m;2
4;Theo;m;2
4;Thomas;m;2
4;Tom;m;2
4;Yiğit;m;2
4;Alea;w;1
4;Alina;w;1
4;Amaya;w;1
4;Amina;w;1
4;Aurelia;w;1
4;Ayla;w;1
4;Clea;w;1
4;Elina;w;1
4;Flora;w;1
4;Freya;w;1
4;Gloria;w;1
4;Hafsa;w;1
4;Hedwig;w;1
4;Helen;w;1
4;Alwin;m;1
4;Hella;w;1
4;Antonio;m;1
4;Isabel;w;1
4;Aron;m;1
4;Juli;w;1
4;Bela;m;1
4;Kira;w;1
4;Charlie;m;1
4;Liana;w;1
4;Constantin;m;1
4;Liyana;w;1
4;Elian;m;1
4;Lucia;w;1
4;Elijah;m;1
4;Malina;w;1
4;Emilio;m;1
4;Melisa;w;1
4;Emin;m;1
4;Meryem;w;1
4;Emir;m;1
4;Nela;w;1
4;Eymen;m;1
4;Nika;w;1
4;Filip;m;1
4;Nour;w;1
4;Frederik;m;1
4;Philine;w;1
4;Gregor;m;1
4;Philippa;w;1
4;Hassan;m;1
4;Rania;w;1
4;Jannik;m;1
4;Ruby;w;1
4;Jannis;m;1
4;Selma;w;1
4;Janosch;m;1
4;Smilla;w;1
4;Juri;m;1
4;Talia;w;1
4;Kasimir;m;1
4;Thea;w;1
4;Lean;m;1
4;Viktoria;w;1
4;Leonidas;m;1
4;Lino;m;1
4;Lorenzo;m;1
4;Loris;m;1
4;Magnus;m;1
4;Malte;m;1
4;Mark;m;1
4;Marlon;m;1
4;Matheo;m;1
4;Matti;m;1
4;Maël;m;1
4;Miran;m;1
4;Neo;m;1
4;Niko;m;1
4;Nikolai;m;1
4;Nikolas;m;1
4;Noel;m;1
4;Otto;m;1
4;Piet;m;1
4;Ruben;m;1
4;Sam;m;1
4;Sami;m;1
3;Maria;w;4
3;Anna;w;3
3;Barbara;w;3
3;Alexander;m;3
3;Gabriele;w;3
3;Andreas;m;3
3;Helene;w;3
3;Christian;m;3
3;Rose;w;3
3;Hans;m;3
3;Maximilian;m;3
3;Simon;m;3
3;Ada;w;2
3;Albertine;w;2
3;Alva;w;2
3;Amelie;w;2
3;Augusta;w;2
3;Defne;w;2
3;Elea;w;2
3;Elin;w;2
3;Elizabeth;w;2
3;Erna;w;2
3;Filippa;w;2
3;Fiona;w;2
3;Florentina;w;2
3;Frieda;w;2
3;Greta;w;2
3;Hannah;w;2
3;Ina;w;2
3;Isabel;w;2
3;Josefine;w;2
3;Lisa;w;2
3;Lotte;w;2
3;Lou;w;2
3;Margarethe;w;2
3;Alois;m;2
3;Margot;w;2
3;Anthony;m;2
3;Marleen;w;2
3;Arno;m;2
3;Marlen;w;2
3;Aslan;m;2
3;Nora;w;2
3;Benedict;m;2
3;Paula;w;2
3;Christopher;m;2
3;Rebecca;w;2
3;Edgar;m;2
3;Rosi;w;2
3;Elio;m;2
3;Sarah;w;2
3;Emilian;m;2
3;Smilla;w;2
3;Emin;m;2
3;Sunny;w;2
3;Francesco;m;2
3;Theresa;w;2
3;Frederick;m;2
3;Vera;w;2
3;Heinz;m;2
3;James;m;2
3;John;m;2
3;Juri;m;2
3;Kaan;m;2
3;Klaus;m;2
3;Leo;m;2
3;Leone;m;2
3;Malik;m;2
3;Marian;m;2
3;Mats;m;2
3;Matteo;m;2
3;Mattheo;m;2
3;Matthias;m;2
3;Mattis;m;2
3;Mika;m;2
3;Nelio;m;2
3;Ruben;m;2
3;Thore;m;2
3;Victor;m;2
3;Viktor;m;2
3;Vincent;m;2
3;William;m;2
3;Adriana;w;1
3;Alessia;w;1
3;Alexandra;w;1
3;Alicia;w;1
3;Amélie;w;1
3;Ana;w;1
3;Asya;w;1
3;Aylin;w;1
3;Ceylin;w;1
3;Dalia;w;1
3;Delia;w;1
3;Diana;w;1
3;Eda;w;1
3;Elea;w;1
3;Eleyna;w;1
