anzahl;vorname;geschlecht;position
43;Marie;w;2
36;Sophie;w;2
31;Emma;w;1
29;Emilia;w;1
28;Noah;m;1
27;Charlotte;w;2
24;Adam;m;1
24;Anton;m;1
24;Mia;w;1
24;Jakob;m;1
23;Mila;w;1
22;Maria;w;2
22;Leo;m;1
21;Elias;m;1
21;Louis;m;1
21;Paul;m;1
21;Theodor;m;1
20;Alexander;m;2
20;Lukas;m;1
20;Oskar;m;1
19;Hannah;w;1
19;Jonathan;m;1
19;Karl;m;1
19;Leon;m;1
18;Luise;w;2
18;David;m;1
18;Emil;m;1
18;Jonas;m;1
17;Charlotte;w;1
17;Ella;w;1
17;Greta;w;1
17;Hanna;w;1
17;Johanna;w;1
17;Felix;m;1
16;Amelie;w;1
16;Anna;w;1
16;Levi;m;1
16;Milo;m;1
15;Clara;w;1
15;Elisa;w;1
15;Julia;w;1
15;Paula;w;1
15;Julius;m;1
15;Max;m;1
15;Milan;m;1
14;Maximilian;m;2
14;Ida;w;1
14;Lara;w;1
14;Lea;w;1
14;Lina;w;1
14;Arthur;m;1
14;Ben;m;1
14;Benjamin;m;1
14;Henri;m;1
14;Henry;m;1
14;Liam;m;1
13;Benjamin;m;2
13;Alma;w;1
13;Frida;w;1
13;Lena;w;1
13;Maya;w;1
13;Rosa;w;1
13;Alexander;m;1
13;Ali;m;1
13;Erik;m;1
13;Finn;m;1
13;Leonard;m;1
13;Muhammed;m;1
12;Jakob;m;2
12;Paul;m;2
12;Johanna;w;2
12;Su;w;2
12;Elisabeth;w;1
12;Marie;w;1
12;Sara;w;1
12;Theo;m;1
11;Amalia;w;1
11;Eva;w;1
11;Maja;w;1
11;Matilda;w;1
11;Mira;w;1
11;Nora;w;1
11;Sofia;w;1
11;Sophie;w;1
11;Amir;m;1
11;Fritz;m;1
11;Johann;m;1
11;Luca;m;1
11;Maximilian;m;1
11;Piet;m;1
11;Samuel;m;1
10;Friedrich;m;2
10;Sophia;w;2
10;Frieda;w;1
10;Klara;w;1
10;Leni;w;1
10;Luna;w;1
10;Olivia;w;1
10;Aaron;m;1
10;Bruno;m;1
10;Juri;m;1
10;Lucas;m;1
10;Martin;m;1
10;Oliver;m;1
10;Valentin;m;1
9;David;m;2
9;Elias;m;2
9;Karl;m;2
9;Lucia;w;2
9;Noah;m;2
9;Luisa;w;2
9;Rose;w;2
9;Ava;w;1
9;Carla;w;1
9;Elif;w;1
9;Emily;w;1
9;Helena;w;1
9;Isabella;w;1
9;Laura;w;1
9;Lotte;w;1
9;Sophia;w;1
9;Jona;m;1
9;Jonah;m;1
9;Luis;m;1
9;Moritz;m;1
9;Tim;m;1
8;Ali;m;2
8;Anna;w;2
8;Elisabeth;w;2
8;Elise;w;2
8;Louise;w;2
8;Antonia;w;1
8;Leonie;w;1
8;Lia;w;1
8;Liya;w;1
8;Mara;w;1
