anzahl;vorname;geschlecht;position
34;Marie;w;2
34;Sophie;w;2
27;Emilia;w;1
26;Noah;m;1
24;Lea;w;1
22;Oskar;m;1
22;Emma;w;1
21;Anton;m;1
21;Liam;m;1
21;Charlotte;w;1
20;Maria;w;2
20;Mia;w;1
19;Emil;m;1
18;Karl;m;1
18;Leon;m;1
17;Ben;m;1
17;Elias;m;1
16;Leo;m;1
16;Maximilian;m;1
16;Moritz;m;1
16;Paul;m;1
15;Alexander;m;2
15;Leni;w;1
15;Marie;w;1
15;Mila;w;1
14;Ella;w;1
14;Laura;w;1
14;Felix;m;1
14;Jonas;m;1
13;Hanna;w;1
13;Johanna;w;1
13;Lara;w;1
13;Henry;m;1
13;Jonathan;m;1
12;Anna;w;1
12;Finn;m;1
12;Milan;m;1
11;Paul;m;2
11;Lia;w;1
11;Erik;m;1
10;Charlotte;w;2
10;Johanna;w;2
10;Emily;w;1
10;Lena;w;1
10;Lina;w;1
10;Luna;w;1
10;Mina;w;1
10;Alexander;m;1
10;Nora;w;1
10;Arthur;m;1
10;Sophie;w;1
10;Linus;m;1
10;Mika;m;1
10;Theodor;m;1
9;Alina;w;1
9;Elina;w;1
9;Lilly;w;1
9;Bruno;m;1
9;Lisa;w;1
9;Fabian;m;1
9;Maya;w;1
9;Luca;m;1
9;Pia;w;1
9;Tim;m;1
9;Sofia;w;1
9;Zoe;w;1
8;Elias;m;2
8;Karl;m;2
8;Maximilian;m;2
8;Matteo;m;1
8;Max;m;1
8;Amelie;w;1
8;Vincent;m;1
8;Clara;w;1
8;Elena;w;1
8;Greta;w;1
8;Hannah;w;1
8;Leonie;w;1
8;Luisa;w;1
8;Maria;w;1
8;Nele;w;1
8;Sophia;w;1
8;Yuna;w;1
7;Henry;m;2
7;Luise;w;2
7;Aaron;m;1
7;Adrian;m;1
7;Amir;m;1
7;Benjamin;m;1
7;Fynn;m;1
7;Joris;m;1
7;Joshua;m;1
7;Levi;m;1
7;Lukas;m;1
7;Maxim;m;1
7;Antonia;w;1
7;Niklas;m;1
7;Diana;w;1
7;Sam;m;1
7;Frida;w;1
7;Theo;m;1
7;Hailey;w;1
7;Helena;w;1
7;Juna;w;1
7;Maja;w;1
7;Matilda;w;1
7;Melina;w;1
7;Melissa;w;1
7;Sara;w;1
6;Arthur;m;2
6;Emil;m;2
6;Luca;m;2
6;Adam;m;1
6;Arne;m;1
6;David;m;1
6;Florian;m;1
6;Hannes;m;1
6;John;m;1
6;Julian;m;1
6;Leonard;m;1
6;Amina;w;1
6;Louis;m;1
6;Daria;w;1
6;Luis;m;1
6;Eva;w;1
6;Luke;m;1
6;Fiona;w;1
6;Miran;m;1
6;Isabella;w;1
6;Mohamad;m;1
6;Paula;w;1
6;Valentin;m;1
6;Pauline;w;1
6;Tilda;w;1
5;Anna;w;2
5;Antonia;w;2
5;Mia;w;2
5;Fritz;m;2
5;Jakob;m;2
5;Leonard;m;2
5;Liam;m;2
5;Oskar;m;2
5;Peter;m;2
5;Wilhelm;m;2
5;Ali;m;1
5;Carl;m;1
5;Alexandra;w;1
5;Carlos;m;1
5;Ava;w;1
5;Jakob;m;1
5;Ida;w;1
5;Jan;m;1
5;Julia;w;1
5;Julius;m;1
5;Klara;w;1
5;Lennard;m;1
5;Lotte;w;1
5;Matheo;m;1
5;Marlene;w;1
5;Mohammad;m;1
5;Milla;w;1
5;Pepe;m;1
5;Olivia;w;1
5;Simon;m;1
5;Paulina;w;1
5;Tobias;m;1
5;Rosalie;w;1
4;Marie;w;3
4;Frieda;w;2
4;Helene;w;2
4;Luisa;w;2
4;Manuela;w;2
4;Pauline;w;2
4;Sophia;w;2
4;Viktoria;w;2
4;André;m;2
4;David;m;2
4;Felix;m;2
4;Fynn;m;2
4;Georg;m;2
4;Joel;m;2
4;Jonathan;m;2
4;Marcel;m;2
4;Martin;m;2
4;Max;m;2
4;Michael;m;2
4;Oliver;m;2
4;Stefan;m;2
4;Valentin;m;2
4;Alex;m;1
4;Alea;w;1
4;Bogdan;m;1
4;Amalia;w;1
4;Daniel;m;1
4;Annabell;w;1
4;Dean;m;1
4;Aria;w;1
4;Enno;m;1
4;Aurora;w;1
4;Friedrich;m;1
4;Elisa;w;1
4;Henri;m;1
4;Elisabeth;w;1
4;Henrik;m;1
4;Flora;w;1
4;Hugo;m;1
4;Haily;w;1
4;Ian;m;1
4;Jasmin;w;1
4;James;m;1
4;Liv;w;1
4;Lasse;m;1
4;Luana;w;1
4;Lennart;m;1
4;Lucia;w;1
4;Lian;m;1
4;Malia;w;1
4;Lio;m;1
4;Mara;w;1
4;Mark;m;1
4;Milena;w;1
4;Michael;m;1
4;Mira;w;1
4;Milo;m;1
4;Ronja;w;1
4;Muhammad;m;1
4;Victoria;w;1
4;Nick;m;1
4;Viktoria;w;1
4;Nico;m;1
4;Omar;m;1
4;Oscar;m;1
4;Raphael;m;1
4;Robin;m;1
4;Ryan;m;1
4;Tom;m;1
3;Louis;m;3
3;Aurora;w;2
3;Carlotta;w;2
3;Emilia;w;2
3;Hermine;w;2
3;Josefin;w;2
3;Josephine;w;2
3;June;w;2
3;Leni;w;2
3;Lynn;w;2
3;Magdalena;w;2
3;Martha;w;2
3;Mathilda;w;2
3;Matilda;w;2
3;Rosa;w;2
3;Andreas;m;2
3;Rose;w;2
3;Anton;m;2
3;Sofia;w;2
3;Bryan;m;2
3;Erik;m;2
3;Finn;m;2
3;Friedrich;m;2
3;Gia;m;2
3;Hans;m;2
3;Jürgen;m;2
3;Leon;m;2
3;Matthias;m;2
3;Nino;m;2
3;Noel;m;2
3;Pascal;m;2
3;Sebastian;m;2
3;Theodor;m;2
3;Werner;m;2
3;Willem;m;2
3;Willi;m;2
3;Alice;w;1
3;Alicia;w;1
3;Amira;w;1
3;Anastasia;w;1
3;Andrea;w;1
3;Ashley;w;1
3;Ayla;w;1
3;Albert;m;1
3;Carlotta;w;1
3;Arian;m;1
3;Celin;w;1
3;Arman;m;1
3;Elli;w;1
3;Aryan;m;1
3;Ellie;w;1
3;Baran;m;1
3;Evelyn;w;1
3;Bela;m;1
3;Finja;w;1
3;Benedikt;m;1
3;Florentine;w;1
3;Constantin;m;1
3;Frieda;w;1
3;Damian;m;1
3;Friederike;w;1
3;Dominik;m;1
3;Heidi;w;1
3;Eddie;m;1
3;Isabell;w;1
3;Elyas;m;1
3;Karla;w;1
3;Emilio;m;1
3;Liana;w;1
3;Fritz;m;1
3;Livia;w;1
3;Gabriel;m;1
3;Lotta;w;1
3;Gustav;m;1
3;Luise;w;1
3;Jannis;m;1
3;Martha;w;1
3;Janosch;m;1
3;Mathilda;w;1
3;Jason;m;1
3;Merle;w;1
3;Jayden;m;1
3;Michelle;w;1
3;Johann;m;1
3;Nina;w;1
3;Jonte;m;1
3;Nola;w;1
3;Kevin;m;1
3;Rita;w;1
3;Leonardo;m;1
3;Romy;w;1
3;Mailo;m;1
3;Rosa;w;1
3;Marlon;m;1
3;Ruby;w;1
3;Martin;m;1
3;Sarah;w;1
3;Mattis;m;1
3;Smilla;w;1
3;Mio;m;1
3;Yasmin;w;1
3;Nathan;m;1
3;Neo;m;1
3;Nils;m;1
3;Nino;m;1
3;Noel;m;1
3;Philipp;m;1
3;Rafael;m;1
3;Richard;m;1
3;Till;m;1
3;Timo;m;1
3;Tommy;m;1
2;Alexander;m;3
2;Anh;w;3
2;Andreas;m;3
2;Charlotte;w;3
2;Anh;m;3
2;Heike;w;3
2;Frank;m;3
2;Julie;w;3
2;Huy;m;3
2;Käthe;w;3
2;Khang;m;3
2;Minh;m;3
2;Ada;w;2
2;Alexandra;w;2
2;Alice;w;2
2;Amalia;w;2
2;Amelie;w;2
2;Anh;w;2
2;Ann;w;2
2;Aurelia;w;2
2;Cataleya;w;2
2;Clara;w;2
2;Dorothea;w;2
2;Elina;w;2
2;Ellen;w;2
2;Elli;w;2
2;Felicitas;w;2
2;Finja;w;2
2;Fritzi;w;2
2;Alfred;m;2
2;Gabriela;w;2
2;Andrei;m;2
2;Hope;w;2
2;August;m;2
2;Isabella;w;2
2;Benedikt;m;2
2;Isabelle;w;2
2;Benjamin;m;2
2;Janina;w;2
2;Carlo;m;2
2;Jasmin;w;2
2;Caspar;m;2
2;Jolie;w;2
2;Constantin;m;2
2;Jolien;w;2
2;Daniel;m;2
2;Julie;w;2
2;Dennis;m;2
2;Katharina;w;2
2;Elijah;m;2
2;Lilly;w;2
2;Florian;m;2
2;Lily;w;2
2;Frederick;m;2
2;Lina;w;2
2;Gustav;m;2
2;Lotta;w;2
2;Hugo;m;2
2;Lotte;w;2
2;Jack;m;2
2;Louise;w;2
2;Jan;m;2
2;Luana;w;2
2;Jayden;m;2
2;Maja;w;2
2;Johannes;m;2
2;Malin;w;2
2;Julius;m;2
2;Mara;w;2
2;Konrad;m;2
2;Margarete;w;2
2;Konstantin;m;2
2;Martina;w;2
2;Lemuel;m;2
2;Mina;w;2
2;Leo;m;2
2;Rebecca;w;2
2;Levi;m;2
2;Ruby;w;2
2;Linus;m;2
2;Sofie;w;2
2;Lio;m;2
2;Valentina;w;2
2;Louis;m;2
2;Victoria;w;2
2;Lounis;m;2
2;Vy;w;2
2;Luka;m;2
2;Lutz;m;2
2;Manuel;m;2
2;Mark;m;2
2;Marley;m;2
2;Matheo;m;2
2;Mats;m;2
2;Maxim;m;2
2;Michel;m;2
2;Minh;m;2
2;Mustafa;m;2
2;Nam;m;2
2;Olaf;m;2
2;Ole;m;2
2;Ragnar;m;2
2;Richard;m;2
2;Robert;m;2
2;Roland;m;2
2;Simon;m;2
2;Tyler;m;2
2;Uwe;m;2
2;Vincent;m;2
2;Wolf;m;2
2;Wolfgang;m;2
2;Aaliyah;w;1
2;Alija;w;1
2;Alva;w;1
2;Ameli;w;1
2;Amelia;w;1
2;Amely;w;1
2;Angelina;w;1
2;Annabelle;w;1
2;Annalena;w;1
2;Annika;w;1
2;Aylin;w;1
2;Abdou;m;1
2;Ayse;w;1
2;Ahmed;m;1
2;Betty;w;1
2;Aiden;m;1
2;Carla;w;1
2;Alvin;m;1
2;Carolina;w;1
2;Antonio;m;1
2;Cassandra;w;1
2;Aras;m;1
2;Chanel;w;1
2;Ares;m;1
2;Cleo;w;1
2;Ari;m;1
2;Dora;w;1
2;Arik;m;1
2;Edda;w;1
2;Artur;m;1
2;Elaine;w;1
2;Arvid;m;1
2;Eleanor;w;1
2;Bennet;m;1
2;Eleonora;w;1
2;Benno;m;1
2;Elin;w;1
2;Béla;m;1
2;Elise;w;1
2;Charlie;m;1
2;Emely;w;1
2;Christian;m;1
2;Emilie;w;1
2;Christopher;m;1
2;Emina;w;1
2;Conner;m;1
2;Fabienne;w;1
2;Danilo;m;1
2;Felina;w;1
2;Eddi;m;1
2;Freda;w;1
2;Eddy;m;1
2;Ghazal;w;1
2;Edgar;m;1
2;Hedi;w;1
2;Elliot;m;1
2;Helen;w;1
2;Emilian;m;1
2;Hà;w;1
2;Fiete;m;1
2;Inga;w;1
2;Finley;m;1
2;Jewa;w;1
2;Finnley;m;1
2;Jolie;w;1
2;Florentin;m;1
2;Josephine;w;1
2;Frederik;m;1
2;Julina;w;1
2;Gregor;m;1
2;Katharina;w;1
2;Hagen;m;1
2;Kaylee;w;1
2;Hossein;m;1
2;Kimberly;w;1
2;Ibrahim;m;1
2;Kira;w;1
2;Ilijas;m;1
2;Käthe;w;1
2;Ilja;m;1
2;Lana;w;1
2;Imran;m;1
2;Learta;w;1
2;Jacob;m;1
2;Lela;w;1
2;Jannes;m;1
2;Lene;w;1
2;Jascha;m;1
2;Leonora;w;1
2;Jeremy;m;1
2;Leyla;w;1
2;Joel;m;1
2;Lilian;w;1
2;Johnny;m;1
2;Lilli;w;1
2;Julien;m;1
2;Lily;w;1
2;Junis;m;1
2;Linda;w;1
2;Kai;m;1
2;Liyah;w;1
2;Karim;m;1
2;Lorena;w;1
2;Keanu;m;1
2;Lou;w;1
2;Kosmo;m;1
2;Lucy;w;1
2;Lenn;m;1
2;Lynn;w;1
2;Leonid;m;1
2;Mai;w;1
2;Leonidas;m;1
2;Malou;w;1
2;Levin;m;1
2;Margarita;w;1
2;Ludwig;m;1
2;Marla;w;1
2;Luka;m;1
2;Melinda;w;1
2;Mads;m;1
2;Melisa;w;1
2;Maksim;m;1
2;Milana;w;1
2;Malte;m;1
2;Miley;w;1
2;Marc;m;1
2;Minh;w;1
2;Marten;m;1
2;Miriam;w;1
2;Marvin;m;1
2;Nana;w;1
2;Matei;m;1
2;Natalia;w;1
2;Matti;m;1
2;Naya;w;1
2;Mehmet;m;1
2;Nila;w;1
2;Miro;m;1
2;Palina;w;1
2;Muhamad;m;1
2;Penelope;w;1
2;Mustafa;m;1
2;Rawan;w;1
2;Nikita;m;1
2;Rieke;w;1
2;Odin;m;1
2;Scarlett;w;1
2;Otto;m;1
2;Sina;w;1
2;Peter;m;1
2;Skadi;w;1
2;Phil;m;1
2;Tala;w;1
2;Ruben;m;1
2;Tara;w;1
2;Rudi;m;1
2;Tina;w;1
2;Rustam;m;1
2;Toni;w;1
2;Scott;m;1
2;Valentina;w;1
2;Selim;m;1
2;Veronika;w;1
2;Sinan;m;1
2;Wanda;w;1
2;Taim;m;1
2;Zoey;w;1
2;Teodor;m;1
2;Thede;m;1
2;Thilo;m;1
2;Timur;m;1
2;Tyler;m;1
2;Viktor;m;1
2;Vlad;m;1
2;William;m;1
2;Yaman;m;1
2;Youssef;m;1
2;Yusuf;m;1
1;Horst;m;5
1;Côme;m;4
1;Celine;w;4
1;Denis;m;4
1;Marie;w;4
1;Jürgen;m;4
1;Nadine;w;4
1;Kurt;m;4
1;Kyle;m;4
1;Manfred;m;4
1;Maurice;m;4
1;Sefik;m;4
1;Agathe;w;3
1;Anika;w;3
1;Ahmed;m;3
1;Antje;w;3
1;An;m;3
1;Antonia;w;3
1;André;m;3
1;Aroha;w;3
1;Arthur;m;3
1;Birgit;w;3
1;Artur;m;3
1;Carola;w;3
1;Arturius;m;3
1;Charlott;w;3
1;Ayomide;m;3
1;Christel;w;3
1;Bao;m;3
1;Christiane;w;3
1;Benjamin;m;3
1;Christine;w;3
1;Bodo;m;3
1;Diana;w;3
1;Burkhardt;m;3
1;Doreen;w;3
1;Cartier;m;3
1;Dorothea;w;3
1;Charles;m;3
1;Elaine;w;3
1;Conner;m;3
1;Elisabeth;w;3
1;Conrad;m;3
1;Emilia;w;3
1;Constantine;m;3
1;Emily;w;3
1;Darryl;m;3
1;Engel;w;3
1;David;m;3
1;Erika;w;3
1;Dean;m;3
1;Esther;w;3
1;Dieter;m;3
1;Faith;w;3
1;Dietmar;m;3
1;Gertrud;w;3
1;Friedemann;m;3
1;Hanna;w;3
1;Friedrich;m;3
1;Heidemarie;w;3
1;Fritz;m;3
1;Helga;w;3
1;Gabor;m;3
1;Ilona;w;3
1;Gabriel;m;3
1;Imara;w;3
1;Gustave;m;3
1;Inge;w;3
1;Henri;m;3
1;Ingrid;w;3
1;James;m;3
1;Janice;w;3
1;Joachim;m;3
1;Johanna;w;3
1;Jonas;m;3
1;Juby;w;3
1;Jozef;m;3
1;Karola;w;3
1;Junis;m;3
1;Katrin;w;3
1;Jürgen;m;3
1;Khairi;w;3
1;Kahoku;m;3
1;Klara;w;3
1;Karl;m;3
1;Lara;w;3
1;Khánh;m;3
1;Lea;w;3
1;Leander;m;3
1;Liesbeth;w;3
1;Leon;m;3
1;Lina;w;3
1;Luca;m;3
1;Liv;w;3
1;Lukas;m;3
1;Lucia;w;3
1;Marius;m;3
1;Luise;w;3
1;Mathias;m;3
1;Lynne;w;3
1;Mathis;m;3
1;Malou;w;3
1;Mathéo;m;3
1;Mansoor;w;3
1;Michael;m;3
1;Marita;w;3
1;Mongoh;m;3
1;Martha;w;3
1;Moore;m;3
1;Martina;w;3
1;Noel;m;3
1;Melanie;w;3
1;Od;m;3
1;Melek;w;3
1;Olaf;m;3
1;Minna;w;3
1;Pascal;m;3
1;My;w;3
1;Paul;m;3
1;Nguyen;w;3
1;Peter;m;3
1;Nicole;w;3
1;Raphael;m;3
1;Pascaline;w;3
1;Repa;m;3
1;Pauline;w;3
1;Ritchy;m;3
1;Rafaela;w;3
1;Robert;m;3
1;Regina;w;3
1;Robin;m;3
1;Renate;w;3
1;Roland;m;3
1;Saida;w;3
1;Rudolf;m;3
1;Soleil;w;3
1;Soundi;m;3
1;Soley;w;3
1;Stefan;m;3
1;Sophia;w;3
1;Taa;m;3
1;Sophie;w;3
1;Temple;m;3
1;Thảo;w;3
1;Thayler;m;3
1;Ute;w;3
1;Turan;m;3
1;Ventsislavova;w;3
1;Ulrich;m;3
1;Victoria;w;3
1;Wilmar;m;3
1;Zoe;w;3
1;Zhiyuan;m;3
1;Đạt;m;3
1;Aaliyah;w;2
1;Abena;w;2
1;Adela;w;2
1;Adelie;w;2
1;Adeline;w;2
1;Adriana;w;2
1;Aiko;w;2
1;Aiva;w;2
1;Alea;w;2
1;Aleksejevna;w;2
1;Alessa;w;2
1;Alessia;w;2
1;Alma;w;2
1;Alon;w;2
1;Amalie;w;2
1;Amy;w;2
1;An;w;2
1;Anastasia;w;2
1;Andreea;w;2
1;Angelova;w;2
1;Anna-Maria;w;2
1;Annemarie;w;2
1;Antje;w;2
1;Appiah;w;2
1;Abdulaevič;m;2
1;Aram;w;2
1;Abdulrazak;m;2
1;Armen;w;2
1;Abdurahman;m;2
1;Arya;w;2
1;Adam;m;2
1;Aslanbekova;w;2
1;Adel;m;2
1;Aua;w;2
1;Alabi;m;2
1;Augustina;w;2
1;Aleksander;m;2
1;Auri;w;2
1;Aleksandr;m;2
1;Ava;w;2
1;Aleksandrov;m;2
1;Azeeba;w;2
1;Alessio;m;2
1;Babette;w;2
1;Alexis;m;2
1;Bao;w;2
1;Ali;m;2
1;Barielle;w;2
1;Alpaslan;m;2
1;Beatrice;w;2
1;Alwin;m;2
1;Beatrix;w;2
