anzahl;vorname;geschlecht;position
14;Leon;m;1
12;Marie;w;2
12;Emma;w;1
11;Felix;m;1
10;Lena;w;1
10;Ben;m;1
9;Sophie;w;2
8;Hanna;w;1
8;Simon;m;1
8;Hannah;w;1
7;Oskar;m;1
7;Charlotte;w;1
7;Samuel;m;1
7;Ella;w;1
7;Frieda;w;1
7;Lara;w;1
7;Mia;w;1
6;Elias;m;1
6;Emil;m;1
6;Liam;m;1
6;Luca;m;1
6;Lea;w;1
6;Maximilian;m;1
6;Melissa;w;1
6;Noah;m;1
6;Sophie;w;1
6;Theo;m;1
5;Alexander;m;2
5;Charlotte;w;2
5;Maria;w;2
5;Anna;w;1
5;Alexander;m;1
5;Elisa;w;1
5;Benjamin;m;1
5;Johanna;w;1
5;Daniel;m;1
5;Luisa;w;1
5;David;m;1
5;Sophia;w;1
5;Finn;m;1
5;Karl;m;1
5;Louis;m;1
5;Lukas;m;1
5;Valentin;m;1
4;Johannes;m;2
4;Elena;w;2
4;Luise;w;2
4;Rose;w;2
4;Victoria;w;2
4;Alina;w;1
4;Alma;w;1
4;Amelie;w;1
4;Emilia;w;1
4;Fiona;w;1
4;Anton;m;1
4;Helena;w;1
4;Dominik;m;1
4;Isabel;w;1
4;Henry;m;1
4;Lina;w;1
4;Jonas;m;1
4;Maya;w;1
4;Julius;m;1
4;Melina;w;1
4;Leo;m;1
4;Mila;w;1
4;Luis;m;1
4;Paula;w;1
4;Tim;m;1
4;Pauline;w;1
4;Vanessa;w;1
3;Elias;m;2
3;Luca;m;2
3;Noah;m;2
3;Sebastian;m;2
3;Willi;m;2
3;Lena;w;2
3;Mia;w;2
3;Adam;m;1
3;Amar;m;1
3;Clara;w;1
3;Erik;m;1
3;Elina;w;1
3;Fynn;m;1
3;Emilie;w;1
3;Jakob;m;1
3;Emily;w;1
3;Jan;m;1
3;Eva;w;1
3;Jannis;m;1
3;Finja;w;1
3;Joshua;m;1
3;Ida;w;1
3;Leonard;m;1
3;Leni;w;1
3;Leopold;m;1
3;Lia;w;1
3;Lucas;m;1
3;Liana;w;1
3;Mats;m;1
3;Lilly;w;1
3;Maxim;m;1
3;Luana;w;1
3;Mohammad;m;1
3;Luise;w;1
3;Oliver;m;1
3;Nina;w;1
3;Pepe;m;1
3;Rosalie;w;1
3;Philipp;m;1
3;Piet;m;1
3;Tobias;m;1
2;Andreas;m;2
2;Ben;m;2
2;Benjamin;m;2
2;Bruno;m;2
2;Alexandra;w;2
2;Daniel;m;2
2;An;w;2
2;Emilian;m;2
2;Anh;w;2
2;Jean;m;2
2;Elisa;w;2
2;Jonathan;m;2
2;Emilia;w;2
2;Kurt;m;2
2;Eva;w;2
2;Leopold;m;2
2;Grace;w;2
2;Louis;m;2
2;Jane;w;2
2;Maria;m;2
2;Johanna;w;2
2;Matteo;m;2
2;Louisa;w;2
2;Michael;m;2
2;Lucia;w;2
2;Oskar;m;2
2;Madita;w;2
2;Otto;m;2
2;Marina;w;2
2;Paul;m;2
2;Rosa;w;2
2;Thomas;m;2
2;Sophia;w;2
2;Theres;w;2
2;Zoe;w;2
2;Alicia;w;1
2;Amira;w;1
2;Anastasia;w;1
2;Alessio;m;1
2;Annabelle;w;1
2;Aron;m;1
2;Annalena;w;1
2;Bastian;m;1
2;Anneliese;w;1
2;Carlo;m;1
2;Annemarie;w;1
2;Caspar;m;1
2;Anni;w;1
2;Charlie;m;1
2;Ariana;w;1
2;Conor;m;1
2;Elisabeth;w;1
2;Edgar;m;1
2;Emelie;w;1
2;Eduard;m;1
2;Emely;w;1
2;Egon;m;1
2;Frida;w;1
2;Elio;m;1
2;Hailey;w;1
2;Eric;m;1
2;Hana;w;1
2;Finnley;m;1
2;Hilda;w;1
2;Jacob;m;1
2;Julia;w;1
2;Johan;m;1
2;Karla;w;1
2;Julian;m;1
2;Kiara;w;1
2;Kevin;m;1
2;Larissa;w;1
2;Leander;m;1
2;Layla;w;1
2;Leonardo;m;1
2;Leonie;w;1
2;Levi;m;1
2;Liliana;w;1
2;Lian;m;1
2;Linda;w;1
2;Lio;m;1
2;Lisa;w;1
2;Luke;m;1
2;Lotte;w;1
2;Mario;m;1
2;Lucy;w;1
2;Marvin;m;1
2;Maja;w;1
2;Matteo;m;1
2;Malia;w;1
2;Max;m;1
2;Malina;w;1
2;Michael;m;1
2;Malou;w;1
2;Moritz;m;1
2;Maria;w;1
2;Owen;m;1
2;Marlene;w;1
2;Paul;m;1
2;Marta;w;1
2;Phillip;m;1
2;Martha;w;1
2;Sam;m;1
2;Mathilda;w;1
2;Theodor;m;1
2;Melisa;w;1
2;Till;m;1
2;Melody;w;1
2;Timo;m;1
2;Merle;w;1
2;Youssef;m;1
2;Mika;w;1
2;Natalie;w;1
2;Nele;w;1
2;Nicole;w;1
2;Nora;w;1
2;Olivia;w;1
2;Paulina;w;1
2;Pia;w;1
2;Rebecca;w;1
2;Rosa;w;1
2;Sara;w;1
2;Theresa;w;1
2;Victoria;w;1
2;Viktoria;w;1
2;Yasmin;w;1
2;Ylvi;w;1
2;Yuna;w;1
1;Công;m;4
1;Arthur;m;3
1;An;w;3
1;Athos;m;3
1;Anaïs;w;3
1;Bela;m;3
1;Anh;w;3
1;David;m;3
1;Charlotte;w;3
1;Emanuel;m;3
1;Eliza;w;3
1;Emilian;m;3
1;Erianna;w;3
1;Eon;m;3
1;Funke;w;3
1;Floki;m;3
1;Gerda;w;3
1;Frédéric;m;3
1;Gisela;w;3
1;Hiêú;m;3
1;Han;w;3
1;Jens;m;3
1;Hannelore;w;3
1;Junior;m;3
1;Helene;w;3
1;Jörg;m;3
1;Lina;w;3
1;Khang;m;3
1;Luisa;w;3
1;Klaus;m;3
1;Mariella;w;3
1;Kofi;m;3
1;My;w;3
1;Leon;m;3
1;Paula;w;3
1;Malou;m;3
1;Rubina;w;3
1;Manfred;m;3
1;Sapna;w;3
1;Martin;m;3
1;Sophie;w;3
1;Mihailović;m;3
1;Odalwig;m;3
1;Randolph;m;3
1;Raphael;m;3
1;Siegfried;m;3
1;Stefan;m;3
1;Thành;m;3
1;;m;2
1;Aaron;m;2
1;Abayie;m;2
1;Aba;w;2
1;Adam;m;2
1;Alana;w;2
1;Adriano;m;2
1;Alena;w;2
1;Al-Amin;m;2
1;Alison;w;2
1;Alessandro;m;2
1;Alva;w;2
1;Alfons;m;2
1;Amalia;w;2
1;Alfred;m;2
1;Amelie;w;2
1;Amar;m;2
1;Amy;w;2
1;Andre;m;2
1;Annabell;w;2
1;Andrei;m;2
1;Annabelle;w;2
1;Angelo;m;2
1;Anni;w;2
1;Antonio;m;2
1;Aurelia;w;2
1;Aris;m;2
1;Barbara;w;2
1;Arne;m;2
1;Betty;w;2
1;Augustus;m;2
1;Brianne;w;2
1;Axel;m;2
1;Carlotta;w;2
1;Bastian;m;2
1;Caytlin;w;2
1;Beck;m;2
1;Chantal;w;2
1;Bela;m;2
1;Christa;w;2
1;Benjamín;m;2
1;Claudi;w;2
1;Björn;m;2
1;Edith;w;2
1;Bosse;m;2
1;Elfesya;w;2
1;Can;m;2
1;Eline;w;2
1;Casey;m;2
1;Elisabeth;w;2
1;Castiel;m;2
1;Elise;w;2
1;Christian;m;2
1;Emely-Shirin;w;2
1;Ciaran;m;2
1;Emma;w;2
1;Clemens;m;2
1;Erika;w;2
1;Cornelius;m;2
1;Ermina;w;2
1;Csaba;m;2
1;Evolette;w;2
1;Danielov;m;2
1;Ewa;w;2
1;Danilo;m;2
1;Fabienne;w;2
1;Dariusz;m;2
1;Feelin;w;2
1;Deniz;m;2
1;Fiéne;w;2
1;Devin;m;2
1;Florentina;w;2
1;Dominik;m;2
1;Franziska;w;2
1;Drago;m;2
1;Frieda;w;2
1;Ebot;m;2
1;Fritzi;w;2
1;Edgar;m;2
1;Ghaliya;w;2
1;Eeli;m;2
1;Gia;w;2
1;Egon;m;2
1;Gwendolin;w;2
1;Einar;m;2
1;Halina;w;2
1;Elia;m;2
1;Heidi;w;2
1;Elijah;m;2
1;Helena;w;2
1;Emanuel;m;2
1;Helene;w;2
1;Emil;m;2
1;Helli;w;2
1;Eric;m;2
1;Hera;w;2
1;Erik;m;2
1;Huy;w;2
1;Erwin;m;2
1;Hà;w;2
1;Finley;m;2
1;Ida;w;2
1;Fredegar;m;2
1;Inari;w;2
1;Friedemann;m;2
1;Isabel;w;2
1;Gabriel;m;2
