anzahl;vorname;geschlecht;position
26;Ali;m;1
24;Marie;w;2
23;Sophie;w;2
20;Adam;m;1
20;Noah;m;1
19;Maria;w;2
18;Mia;w;1
16;Lina;w;1
15;Ella;w;1
15;Felix;m;1
15;Liya;w;1
15;Maximilian;m;1
14;Emilia;w;1
14;Amir;m;1
14;Emma;w;1
14;Mila;w;1
13;Emil;m;1
13;Paul;m;1
13;Theo;m;1
12;Alexander;m;2
12;Lea;w;1
12;Mina;w;1
12;Ahmad;m;1
12;Mira;w;1
12;Milan;m;1
11;Amira;w;1
11;Anton;m;1
11;Mariam;w;1
11;Ben;m;1
11;Muhammed;m;1
10;Elias;m;2
10;Charlotte;w;2
10;Charlotte;w;1
10;Johanna;w;1
10;Elias;m;1
10;Leonie;w;1
10;Ilyas;m;1
10;Maria;w;1
10;Jonas;m;1
10;Meryem;w;1
10;Leon;m;1
10;Zeynep;w;1
10;Luca;m;1
10;Mohammad;m;1
9;Luise;w;2
9;Amina;w;1
9;Elif;w;1
9;Emir;m;1
9;Hannah;w;1
9;Hussein;m;1
9;Laura;w;1
9;Liam;m;1
9;Melina;w;1
9;Mohamad;m;1
9;Nora;w;1
9;Sara;w;1
9;Sophia;w;1
8;Ali;m;2
8;Paul;m;2
8;Samuel;m;2
8;Alexander;m;1
8;Finn;m;1
8;Hamza;m;1
8;Alina;w;1
8;Karl;m;1
8;Amelie;w;1
8;Marlon;m;1
8;Frieda;w;1
8;Noel;m;1
8;Jasmin;w;1
8;Youssef;m;1
8;Yusuf;m;1
8;Ömer;m;1
7;Noah;m;2
7;Anna;w;2
7;Elisabeth;w;2
7;Asya;w;1
7;Ayla;w;1
7;Ela;w;1
7;Edgar;m;1
7;Emily;w;1
7;Hassan;m;1
7;Klara;w;1
7;Henri;m;1
7;Lara;w;1
7;Milo;m;1
7;Luisa;w;1
7;Mohammed;m;1
7;Marie;w;1
7;Moritz;m;1
7;Sena;w;1
6;Jonathan;m;2
6;Leo;m;2
6;Johanna;w;2
6;Nur;w;2
6;Bruno;m;1
6;Clara;w;1
6;Daniel;m;1
6;Greta;w;1
6;David;m;1
6;Hira;w;1
6;Fabian;m;1
6;Luna;w;1
6;Jonathan;m;1
6;Medina;w;1
6;Lukas;m;1
6;Nour;w;1
6;Malik;m;1
6;Sophie;w;1
6;Mika;m;1
6;Vanessa;w;1
6;Omar;m;1
6;Victoria;w;1
6;Theodor;m;1
6;Yasin;m;1
5;Maria;w;3
5;Adam;m;2
5;Maximilian;m;2
5;Emilia;w;2
5;Lina;w;2
5;Pauline;w;2
5;Alessia;w;1
5;Alma;w;1
5;Adrian;m;1
5;Amalia;w;1
5;Berat;m;1
5;Anna;w;1
5;Can;m;1
5;Antonia;w;1
5;Filip;m;1
5;Ava;w;1
5;Fynn;m;1
5;Elisa;w;1
5;Henry;m;1
5;Eliz;w;1
5;Jan;m;1
5;Frida;w;1
5;Johannes;m;1
5;Hanna;w;1
5;Jonah;m;1
5;Jana;w;1
5;Kaan;m;1
5;Julia;w;1
5;Lennard;m;1
5;Juna;w;1
5;Leonard;m;1
5;Lena;w;1
5;Lio;m;1
5;Lia;w;1
5;Mahmoud;m;1
5;Lilly;w;1
5;Mateo;m;1
5;Lucy;w;1
5;Niklas;m;1
5;Maja;w;1
5;Richard;m;1
5;Paula;w;1
5;Samuel;m;1
5;Sofia;w;1
5;Vincent;m;1
5;Talia;w;1
5;Yakub;m;1
5;Yiğit;m;1
5;Yousef;m;1
4;Anton;m;2
4;Asaf;m;2
4;Emil;m;2
4;Amelie;w;2
4;Emilian;m;2
4;Ava;w;2
4;Gabriel;m;2
4;Elisa;w;2
4;Hamza;m;2
4;Melina;w;2
4;Joel;m;2
4;Mia;w;2
4;Johann;m;2
4;Milou;w;2
4;Konstantin;m;2
4;Rosa;w;2
4;Louis;m;2
4;Sophia;w;2
4;Luca;m;2
4;Valentina;w;2
4;Simon;m;2
4;Sven;m;2
4;Arya;w;1
4;Aurelia;w;1
4;Ayşe;w;1
4;Abbas;m;1
4;Emmi;w;1
4;Ahmet;m;1
4;Eylül;w;1
4;Antonio;m;1
4;Fatima;w;1
4;Aras;m;1
4;Hanin;w;1
4;Arthur;m;1
4;Hayat;w;1
4;Baran;m;1
4;Ida;w;1
4;Elyas;m;1
4;Isabella;w;1
4;Emilio;m;1
4;Joleen;w;1
4;Eric;m;1
4;Josephine;w;1
4;Erik;m;1
4;Laila;w;1
4;Fiete;m;1
4;Leyla;w;1
4;Hadi;m;1
4;Malina;w;1
4;Ibrahim;m;1
4;Maryam;w;1
4;Isa;m;1
4;Matilda;w;1
4;Jayden;m;1
4;Maya;w;1
4;Jona;m;1
4;Melek;w;1
4;Joshua;m;1
4;Olivia;w;1
4;Julius;m;1
4;Paulina;w;1
4;Khaled;m;1
4;Pauline;w;1
4;Leo;m;1
4;Sarah;w;1
4;Levin;m;1
4;Tuana;w;1
4;Lian;m;1
4;Viktoria;w;1
4;Louis;m;1
4;Zeinab;w;1
4;Malek;m;1
4;Mikail;m;1
4;Miraç;m;1
4;Oscar;m;1
3;Josef;m;3
3;Michael;m;3
3;Alexandra;w;2
3;Eva;w;2
3;Albert;m;2
3;Fatma;w;2
3;Benjamin;m;2
3;Gül;w;2
3;David;m;2
3;Ida;w;2
3;Emin;m;2
3;Isabelle;w;2
3;Friedrich;m;2
3;Liya;w;2
3;Georg;m;2
3;Magdalena;w;2
3;Jakob;m;2
3;Margarete;w;2
3;Jan;m;2
3;Marlene;w;2
3;Johannes;m;2
3;Mathilda;w;2
3;Levi;m;2
3;Paulina;w;2
3;Levin;m;2
3;Ravza;w;2
3;Luka;m;2
3;Rosalie;w;2
3;Miran;m;2
3;Ruth;w;2
3;Noel;m;2
3;Sofia;w;2
3;Ole;m;2
3;Zehra;w;2
3;Richard;m;2
3;Theodor;m;2
3;Valentin;m;2
3;Wolfgang;m;2
3;Yusuf;m;2
3;Amar;w;1
3;Amelia;w;1
3;Ana;w;1
3;Anastasia;w;1
3;Abdullah;m;1
3;Bayan;w;1
3;Alessio;m;1
3;Beyza;w;1
3;Amar;m;1
3;Carla;w;1
3;Amin;m;1
3;Dalia;w;1
3;Arne;m;1
3;Daria;w;1
3;Deniz;m;1
3;Defne;w;1
3;Enno;m;1
3;Eda;w;1
3;Ensar;m;1
3;Ekaterina;w;1
3;Florian;m;1
3;Elin;w;1
3;Franz;m;1
3;Elina;w;1
3;Friedrich;m;1
3;Elisabeth;w;1
3;Fritz;m;1
3;Elissa;w;1
3;Ismail;m;1
3;Erva;w;1
3;Issa;m;1
3;Eslem;w;1
3;Jaden;m;1
3;Fiona;w;1
3;Jannik;m;1
3;Gabriela;w;1
3;Jannis;m;1
3;Hailey;w;1
3;Janosch;m;1
3;Hatice;w;1
3;Jawad;m;1
3;Helena;w;1
3;John;m;1
3;Janna;w;1
3;Julian;m;1
3;Joline;w;1
3;Karim;m;1
3;Lana;w;1
3;Konstantin;m;1
3;Lavin;w;1
3;Linus;m;1
3;Layal;w;1
3;Lion;m;1
3;Leni;w;1
3;Liyan;m;1
3;Linda;w;1
3;Luan;m;1
3;Livia;w;1
3;Luka;m;1
3;Lucia;w;1
3;Mahir;m;1
3;Malika;w;1
3;Malte;m;1
3;Martha;w;1
3;Marcel;m;1
3;Mathilda;w;1
3;Maxim;m;1
3;Mavi;w;1
3;Mert;m;1
3;Merle;w;1
3;Mete;m;1
3;Meva;w;1
3;Miran;m;1
3;Milla;w;1
3;Muhammad;m;1
3;Nele;w;1
3;Nino;m;1
3;Nisa;w;1
3;Oliver;m;1
3;Ruby;w;1
3;Oskar;m;1
3;Tara;w;1
3;Philipp;m;1
3;Yade;w;1
3;Rafael;m;1
3;Yara;w;1
3;Raphael;m;1
3;Yuna;w;1
3;Ryan;m;1
3;Zahra;w;1
3;Thomas;m;1
3;Timur;m;1
3;Tobias;m;1
3;Toni;m;1
3;Yunus;m;1
3;Zayn;m;1
2;Katharina;w;4
2;Elisabeth;w;3
2;Ali;m;3
2;Marie;w;3
2;David;m;3
2;Sophie;w;3
2;Leonard;m;3
2;Maximilian;m;3
2;Mohamed;m;3
2;Ada;w;2
2;Alesia;w;2
2;Amani;w;2
2;Amelia;w;2
2;Andrea;w;2
2;Abdullah;m;2
2;Azra;w;2
2;Amin;m;2
2;Belle;w;2
2;Amir;m;2
2;Canan;w;2
2;Andreas;m;2
2;Christina;w;2
2;Antonio;m;2
2;Daria;w;2
2;Aras;m;2
2;Ela;w;2
2;Bellamy;m;2
2;Elena;w;2
2;Benedikt;m;2
2;Emma;w;2
2;Can;m;2
2;Esma;w;2
2;Christoph;m;2
2;Fatima;w;2
2;Constantin;m;2
2;Freya;w;2
2;Dean;m;2
2;Greta;w;2
2;Deniz;m;2
2;Hailey;w;2
2;Eduard;m;2
2;Hanna;w;2
2;Elian;m;2
2;Hannah;w;2
2;Emanuel;m;2
2;Isabel;w;2
2;Emir;m;2
2;Jamil;w;2
2;Emre;m;2
2;Jasmin;w;2
2;Ensar;m;2
2;Jolie;w;2
2;Eren;m;2
2;Juna;w;2
2;Erwin;m;2
2;Katharina;w;2
2;Finn;m;2
2;Klara;w;2
2;Florin;m;2
2;Lea;w;2
2;George;m;2
2;Leonie;w;2
2;Gregor;m;2
2;Leyla;w;2
2;Günter;m;2
2;Liana;w;2
2;Han;m;2
