anzahl;vorname;geschlecht;position
63;Marie;w;2
48;Sophie;w;2
44;Charlotte;w;1
39;Emil;m;1
37;Mia;w;1
36;Oskar;m;1
35;Emilia;w;1
34;Anna;w;1
31;Felix;m;1
30;Ben;m;1
29;Alexander;m;2
29;Charlotte;w;2
29;Anton;m;1
29;Mila;w;1
28;Maria;w;2
27;Noah;m;1
27;Emma;w;1
26;Leonard;m;1
25;Lina;w;1
25;Karl;m;1
25;Leon;m;1
24;Alexander;m;1
24;Finn;m;1
24;Maximilian;m;1
24;Theodor;m;1
23;Ella;w;1
23;Jonas;m;1
22;Maximilian;m;2
22;Luise;w;2
22;Emily;w;1
22;Lena;w;1
22;Leonie;w;1
22;Henry;m;1
22;Paul;m;1
21;Frieda;w;1
21;Liam;m;1
21;Louis;m;1
20;Emilia;w;2
20;Theo;m;1
20;Tim;m;1
19;Lea;w;1
19;Marie;w;1
19;Elias;m;1
19;Leo;m;1
19;Mats;m;1
19;Max;m;1
18;Friedrich;m;2
18;Elisabeth;w;2
18;Clara;w;1
18;Ida;w;1
18;Mathilda;w;1
18;Sophia;w;1
18;Erik;m;1
17;Elias;m;2
17;Frida;w;1
17;Johanna;w;1
17;Henri;m;1
16;Anton;m;2
16;Greta;w;1
16;Hanna;w;1
16;Julia;w;1
16;Maja;w;1
16;Merle;w;1
16;Luca;m;1
16;Mika;m;1
16;Till;m;1
15;Michael;m;2
15;Paul;m;2
15;Theodor;m;2
15;Isabella;w;1
15;Leni;w;1
15;Lia;w;1
15;Maya;w;1
15;Adam;m;1
15;Nele;w;1
15;Arthur;m;1
14;Elina;w;1
14;Benjamin;m;1
14;Lara;w;1
14;Levi;m;1
14;Laura;w;1
14;Milan;m;1
14;Lilly;w;1
14;Moritz;m;1
14;Paula;w;1
14;Pepe;m;1
13;Johanna;w;2
13;David;m;2
13;Emil;m;2
13;Amelie;w;1
13;Aaron;m;1
13;Helena;w;1
13;Jakob;m;1
13;Klara;w;1
13;Luis;m;1
13;Matilda;w;1
13;Lukas;m;1
13;Mira;w;1
13;Niklas;m;1
13;Olivia;w;1
13;Samuel;m;1
12;Elise;w;2
12;Valentin;m;2
12;Hannah;w;1
12;Bruno;m;1
12;Marlene;w;1
12;Malte;m;1
12;Pauline;w;1
12;Milo;m;1
12;Tilda;w;1
12;Vincent;m;1
11;Karl;m;2
11;Lotta;w;1
11;Bela;m;1
11;Luisa;w;1
11;Carl;m;1
11;Luise;w;1
11;Julian;m;1
11;Nina;w;1
11;Julius;m;1
11;Sophie;w;1
11;Konstantin;m;1
11;Lio;m;1
11;Valentin;m;1
10;Alina;w;1
10;Alma;w;1
10;Amelia;w;1
10;Edgar;m;1
10;Elisa;w;1
10;Frederik;m;1
10;Lotte;w;1
10;Jonathan;m;1
10;Luna;w;1
10;Linus;m;1
10;Malina;w;1
10;Toni;m;1
10;Melina;w;1
10;Mina;w;1
10;Nora;w;1
