anzahl;vorname;geschlecht;position
12;Marie;w;2
9;Emil;m;1
8;Mia;w;1
7;Sophie;w;2
7;Leon;m;1
7;Louis;m;1
7;Milan;m;1
6;Elias;m;1
5;Maria;w;2
5;Elena;w;1
5;Elif;w;1
5;Sophia;w;1
5;Adam;m;1
5;Liam;m;1
5;Muhammad;m;1
5;Yasin;m;1
4;Anna;w;1
4;Ella;w;1
4;Emilia;w;1
4;Lina;w;1
4;Maria;w;1
4;Ali;m;1
4;Melissa;w;1
4;Ben;m;1
4;Sara;w;1
4;Jonah;m;1
4;Sofia;w;1
4;Miran;m;1
4;Zeynep;w;1
4;Mohammad;m;1
4;Paul;m;1
3;Ali;m;2
3;Jan;m;2
3;Joel;m;2
3;Rose;w;2
3;Aurora;w;1
3;Ayla;w;1
3;Aras;m;1
3;Elisabeth;w;1
3;Emir;m;1
3;Emma;w;1
3;Ibrahim;m;1
3;Hira;w;1
3;Jonas;m;1
3;Lucy;w;1
3;Julian;m;1
3;Mara;w;1
3;Kerem;m;1
3;Maryam;w;1
3;Lian;m;1
3;Medina;w;1
3;Lio;m;1
3;Mira;w;1
3;Luis;m;1
3;Malik;m;1
3;Muhammed;m;1
3;Mustafa;m;1
3;Noah;m;1
3;Noel;m;1
3;Rafael;m;1
3;Yakup;m;1
3;Yusuf;m;1
2;Karin;w;4
2;Benjamin;m;3
2;Sophie;w;3
2;Loki;m;3
2;Aaron;m;2
2;Asaf;m;2
2;Leni;w;2
2;Aziz;m;2
2;Lia;w;2
2;Ben;m;2
2;Lya;w;2
2;Christian;m;2
2;Michelle;w;2
2;Daniel;m;2
2;Nisa;w;2
2;Finn;m;2
2;Paulina;w;2
2;Henry;m;2
2;Victoria;w;2
2;Jerome;m;2
2;Yvonne;w;2
2;Jonah;m;2
2;Junior;m;2
2;Kaan;m;2
2;Leonard;m;2
2;Liam;m;2
2;Luca;m;2
2;Martin;m;2
2;Maxim;m;2
2;Maximilian;m;2
2;Noel;m;2
2;Paul;m;2
2;Theodor;m;2
2;Yasin;m;2
2;Yusuf;m;2
2;Zoran;m;2
2;Alena;w;1
2;Aleyna;w;1
2;Alice;w;1
2;Alicia;w;1
2;Amelie;w;1
2;Amina;w;1
