anzahl;vorname;geschlecht;position
44;Marie;w;2
38;Sophie;w;2
29;Noah;m;1
26;Elias;m;1
25;Emma;w;1
22;Alexander;m;2
22;Lina;w;1
21;Ben;m;1
20;Emilia;w;1
20;Emil;m;1
19;Charlotte;w;2
19;Maria;w;2
19;Liam;m;1
18;Luise;w;2
18;Ella;w;1
18;Leonie;w;1
18;Alexander;m;1
18;Jonathan;m;1
17;Charlotte;w;1
17;Frieda;w;1
17;Paul;m;1
17;Lena;w;1
17;Mia;w;1
17;Mila;w;1
16;Anton;m;1
15;Noah;m;2
15;Louis;m;1
15;Clara;w;1
15;Hanna;w;1
14;Henry;m;1
14;Jakob;m;1
14;Leon;m;1
14;Frida;w;1
14;Leni;w;1
13;Emilia;w;2
13;Adam;m;1
13;Luca;m;1
13;Hannah;w;1
13;Theo;m;1
13;Ida;w;1
13;Theodor;m;1
12;Alma;w;1
12;David;m;1
12;Elisa;w;1
12;Felix;m;1
12;Matilda;w;1
12;Luis;m;1
12;Nele;w;1
12;Oskar;m;1
12;Paula;w;1
11;Maximilian;m;2
11;Paul;m;2
11;Adrian;m;1
11;Amelie;w;1
11;Leo;m;1
11;Julia;w;1
11;Tim;m;1
11;Luise;w;1
11;Mira;w;1
10;Elisabeth;w;2
10;Aaron;m;1
10;Finn;m;1
10;Lara;w;1
10;Frederik;m;1
10;Olivia;w;1
10;Karl;m;1
10;Sophie;w;1
10;Leonard;m;1
10;Matteo;m;1
9;Christian;m;2
9;Emil;m;2
9;Theodor;m;2
9;Emily;w;1
9;Greta;w;1
9;Daniel;m;1
9;Maja;w;1
9;Jonas;m;1
9;Mohammed;m;1
9;Moritz;m;1
9;Niklas;m;1
9;Vincent;m;1
8;Benjamin;m;2
8;Anna;w;2
8;Luis;m;2
8;Michael;m;2
8;Anna;w;1
8;Aurelia;w;1
8;Nina;w;1
8;Tilda;w;1
8;Ali;m;1
8;Carl;m;1
8;Gabriel;m;1
8;Jan;m;1
8;Julian;m;1
8;Levin;m;1
8;Lukas;m;1
8;Mika;m;1
8;Milo;m;1
7;Elisa;w;2
7;Emma;w;2
7;Felix;m;2
7;Helene;w;2
7;Friedrich;m;2
7;Johanna;w;2
7;Jonathan;m;2
7;Sophia;w;2
7;Levi;m;2
7;Louis;m;2
7;Oskar;m;2
7;Samuel;m;2
7;Valentin;m;2
7;Ada;w;1
7;Amelia;w;1
7;Diana;w;1
7;Elisabeth;w;1
7;Finja;w;1
7;Hailey;w;1
7;Isabella;w;1
7;Jana;w;1
7;Marlene;w;1
7;Martha;w;1
7;Fabian;m;1
7;Melina;w;1
7;Ilyas;m;1
7;Milena;w;1
7;Jasper;m;1
7;Sophia;w;1
7;Julius;m;1
7;Levi;m;1
7;Luka;m;1
7;Maximilian;m;1
7;Miran;m;1
6;Lea;w;2
6;Lou;w;2
6;Mathilda;w;2
6;Sofie;w;2
6;Anton;m;2
6;David;m;2
6;Elias;m;2
6;Joel;m;2
6;Leon;m;2
6;Matteo;m;2
6;Ava;w;1
6;Fiona;w;1
6;Jasmin;w;1
6;Juna;w;1
6;Laura;w;1
6;Arthur;m;1
6;Malia;w;1
6;Damian;m;1
6;Maria;w;1
6;Enno;m;1
6;Mathilda;w;1
6;Fynn;m;1
6;Mina;w;1
6;Johann;m;1
6;Nora;w;1
6;Jona;m;1
6;Paulina;w;1
6;Lucas;m;1
6;Ronja;w;1
6;Max;m;1
6;Rosa;w;1
6;Milan;m;1
6;Sofia;w;1
6;Mohamad;m;1
6;Oliver;m;1
6;Pepe;m;1
6;Robin;m;1
6;Samuel;m;1
6;Till;m;1
6;Tom;m;1
5;Alexander;m;3
5;Antonia;w;2
5;Carlotta;w;2
5;Elise;w;2
5;Ella;w;2
5;Louise;w;2
5;Luisa;w;2
5;Malou;w;2
5;Gabriel;m;2
5;Nur;w;2
5;Jakob;m;2
5;Joachim;m;2
5;Johann;m;2
5;Johannes;m;2
5;John;m;2
5;Liam;m;2
5;Luca;m;2
5;Ole;m;2
5;Peter;m;2
5;Aleyna;w;1
5;Amalia;w;1
5;Amira;w;1
5;Anastasia;w;1
5;Antonia;w;1
5;Carlotta;w;1
5;Ela;w;1
5;Alessio;m;1
5;Eva;w;1
5;Amir;m;1
5;Johanna;w;1
5;Aras;m;1
5;Katharina;w;1
5;Bruno;m;1
5;Klara;w;1
5;Constantin;m;1
5;Lea;w;1
5;Edgar;m;1
5;Lia;w;1
5;Elian;m;1
5;Liliana;w;1
5;Emilio;m;1
5;Lilly;w;1
5;Fritz;m;1
5;Lisa;w;1
5;Henri;m;1
5;Lola;w;1
5;Johannes;m;1
5;Louisa;w;1
5;Joshua;m;1
5;Luisa;w;1
5;Juri;m;1
5;Melissa;w;1
5;Kian;m;1
5;Merle;w;1
5;Linus;m;1
5;Mona;w;1
5;Luan;m;1
5;Rosalie;w;1
5;Mateo;m;1
5;Valentina;w;1
5;Maxim;m;1
5;Victoria;w;1
5;Nico;m;1
5;Wilma;w;1
5;Raphael;m;1
5;Zeynep;w;1
5;Simon;m;1
5;Zoe;w;1
5;Toni;m;1
5;Valentin;m;1
5;Yasin;m;1
4;Charlotte;w;3
4;Maria;w;3
4;Marie;w;3
4;Helena;w;2
4;Isabella;w;2
4;Isabelle;w;2
4;Jolie;w;2
4;Katharina;w;2
4;Klara;w;2
4;Laura;w;2
4;Leonie;w;2
4;Leyla;w;2
4;Ali;m;2
4;Maja;w;2
4;Alois;m;2
4;Mia;w;2
4;Andreas;m;2
4;Rosa;w;2
4;Ben;m;2
4;Sara;w;2
4;Ferdinand;m;2
4;Sofia;w;2
4;Fritz;m;2
4;Hans;m;2
4;Jan;m;2
4;Jason;m;2
4;Karl;m;2
4;Konstantin;m;2
4;Malik;m;2
4;Martin;m;2
4;Mika;m;2
4;Alessia;w;1
4;Aria;w;1
4;Aurora;w;1
4;Albert;m;1
4;Ayla;w;1
4;Alex;m;1
4;Aylin;w;1
4;Arne;m;1
4;Elina;w;1
4;Benno;m;1
4;Emmi;w;1
4;Dean;m;1
4;Esila;w;1
4;Elyas;m;1
4;Flora;w;1
4;Emilian;m;1
4;Helen;w;1
4;Erik;m;1
4;Helena;w;1
4;Fatih;m;1
4;Karla;w;1
4;Ferdinand;m;1
4;Lana;w;1
4;Fiete;m;1
4;Lore;w;1
4;Florian;m;1
4;Luna;w;1
4;Friedrich;m;1
4;Lynn;w;1
4;Jannes;m;1
4;Madita;w;1
4;Jonah;m;1
4;Meryem;w;1
4;Kasimir;m;1
4;Nola;w;1
4;Konstantin;m;1
4;Pauline;w;1
4;Lasse;m;1
4;Romy;w;1
4;Leonardo;m;1
4;Sara;w;1
4;Lian;m;1
4;Stella;w;1
4;Lino;m;1
4;Yuna;w;1
4;Lio;m;1
4;Lion;m;1
4;Lorenz;m;1
4;Malik;m;1
4;Marvin;m;1
4;Mats;m;1
4;Mohammad;m;1
4;Nick;m;1
4;Nicolas;m;1
4;Ole;m;1
4;Rio;m;1
4;Taavi;m;1
4;Yiğit;m;1
3;Christian;m;3
3;Emil;m;3
3;Friedrich;m;3
3;Elisabeth;w;3
3;Philipp;m;3
3;Rosa;w;3
3;Robert;m;3
3;Ava;w;2
3;Carola;w;2
3;Edith;w;2
3;Ellen;w;2
3;Eva;w;2
3;Grace;w;2
3;Henriette;w;2
3;Hermine;w;2
3;Isabell;w;2
3;Adam;m;2
3;Jadwiga;w;2
3;Ahmet;m;2
3;June;w;2
3;Alessio;m;2
3;Karin;w;2
3;Alvar;m;2
3;Leni;w;2
3;Arthur;m;2
3;Leonora;w;2
3;Arun;m;2
3;Leonore;w;2
3;Aurelius;m;2
3;Lilli;w;2
3;Ernst;m;2
3;Linnea;w;2
3;Frank;m;2
3;Liya;w;2
3;Georg;m;2
3;Louisa;w;2
3;Henry;m;2
3;Lucia;w;2
3;Josef;m;2
3;Magdalena;w;2
3;Julius;m;2
3;Malea;w;2
3;Kai;m;2
3;Malina;w;2
3;Kasimir;m;2
3;Margarete;w;2
3;Klaus;m;2
3;Margarethe;w;2
3;Lennard;m;2
3;Mathilde;w;2
3;Lewin;m;2
3;Matilda;w;2
3;Luiz;m;2
3;Michelle;w;2
3;Lukas;m;2
3;Mila;w;2
3;Magnus;m;2
3;Milena;w;2
3;Mario;m;2
3;Mira;w;2
3;Matheo;m;2
3;Nisa;w;2
3;Maurice;m;2
3;Viktoria;w;2
3;Mehmet;m;2
3;Zehra;w;2
3;Muhammed;m;2
3;Niklas;m;2
3;Oscar;m;2
3;Pascal;m;2
3;Richard;m;2
3;Sebastian;m;2
3;Tom;m;2
3;Willem;m;2
3;Aaliyah;w;1
3;Alina;w;1
3;Aliya;w;1
3;Aliyah;w;1
3;Alva;w;1
3;Ariana;w;1
3;Cleo;w;1
3;Eileen;w;1
3;Elena;w;1
3;Emilie;w;1
3;Franziska;w;1
3;Freya;w;1
3;Huda;w;1
3;Aiden;m;1
3;Ilayda;w;1
3;Arda;m;1
3;Isabelle;w;1
3;Ari;m;1
3;Jonna;w;1
3;Arian;m;1
3;Kira;w;1
3;Aron;m;1
3;Layla;w;1
3;Artur;m;1
3;Leila;w;1
3;Ayden;m;1
3;Leona;w;1
3;Benjamin;m;1
3;Liah;w;1
3;Bennet;m;1
3;Liana;w;1
3;Can;m;1
3;Lilia;w;1
3;Charlie;m;1
3;Lilian;w;1
3;Colin;m;1
3;Linda;w;1
3;Elio;m;1
3;Liv;w;1
3;Emanuel;m;1
3;Livia;w;1
3;Emir;m;1
3;Lotte;w;1
3;Eric;m;1
3;Luana;w;1
3;Frederick;m;1
3;Malou;w;1
3;Gustav;m;1
3;Marie;w;1
3;Igor;m;1
3;Marla;w;1
3;James;m;1
3;Maya;w;1
3;Jannis;m;1
3;Michelle;w;1
3;Janosch;m;1
3;Milana;w;1
3;Jascha;m;1
3;Miriam;w;1
3;Johan;m;1
3;Pia;w;1
3;Jonte;m;1
3;Ria;w;1
3;Justus;m;1
3;Samira;w;1
3;Karim;m;1
3;Sarah;w;1
3;Kilian;m;1
3;Sena;w;1
3;Konrad;m;1
3;Thea;w;1
3;Lean;m;1
3;Theresa;w;1
3;Leopold;m;1
3;Toni;w;1
3;Lionel;m;1
3;Ylva;w;1
3;Malek;m;1
3;Zofia;w;1
3;Malte;m;1
3;Marc;m;1
3;Marius;m;1
3;Mattis;m;1
3;Mehmet;m;1
3;Merlin;m;1
3;Michael;m;1
3;Mino;m;1
3;Muhammad;m;1
3;Muhammed;m;1
3;Nikita;m;1
3;Otto;m;1
3;Piet;m;1
3;Rafael;m;1
3;Rasmus;m;1
3;Richard;m;1
3;Robert;m;1
3;Salih;m;1
3;Sebastian;m;1
3;Tahir;m;1
3;Thore;m;1
3;Umut;m;1
3;Viktor;m;1
2;Elisabeth;w;4
2;An;w;3
2;Andreas;m;3
2;Emelie;w;3
2;André;m;3
2;Grace;w;3
2;Benjamin;m;3
2;Johanna;w;3
2;Bo;m;3
2;Liv;w;3
2;Edison;m;3
2;Luise;w;3
2;Hans;m;3
2;Martha;w;3
2;Heinrich;m;3
2;Sophie;w;3
2;Helmut;m;3
2;Joachim;m;3
2;Karl;m;3
2;Kurt;m;3
2;Luis;m;3
2;Patrick;m;3
2;Peter;m;3
2;Richard;m;3
2;Stefan;m;3
2;Thomas;m;3
2;Wilhelm;m;3
2;Aaliyah;w;2
2;Ada;w;2
2;Alexandra;w;2
2;Alicia;w;2
2;Alma;w;2
2;Amalia;w;2
2;Amelia;w;2
2;Amelie;w;2
2;Adrian;m;2
2;Annemarie;w;2
2;Aleksiev;m;2
2;Aurelia;w;2
2;Alexis;m;2
2;Biserova;w;2
2;Angelo;m;2
2;Carmen;w;2
2;Artur;m;2
2;Celina;w;2
2;August;m;2
2;Charlie;w;2
2;Azad;m;2
2;Claire;w;2
2;Bennet;m;2
2;Clara;w;2
2;Bruno;m;2
2;Ekaterina;w;2
2;Caspar;m;2
2;Elea;w;2
2;Christopher;m;2
2;Eleanor;w;2
2;Constantin;m;2
2;Elin;w;2
2;Daniel;m;2
2;Emelie;w;2
2;Eduard;m;2
2;Erika;w;2
2;Ege;m;2
2;Fanny;w;2
2;Elijah;m;2
2;Fiona;w;2
2;Elio;m;2
2;Frida;w;2
2;Emilian;m;2
2;Hailey;w;2
2;Emin;m;2
2;Jamie;w;2
2;Erik;m;2
2;Jenny;w;2
2;Fabian;m;2
2;Juna;w;2
2;Fiete;m;2
2;Karlotta;w;2
2;Finn;m;2
2;Lara;w;2
2;Fridolin;m;2
2;Laureen;w;2
2;Helmut;m;2
2;Lena;w;2
2;Ilay;m;2
2;Lilith;w;2
2;Ilker;m;2
2;Lilly;w;2
2;Ivanov;m;2
2;Lilou;w;2
2;Ivelinov;m;2
2;Lina;w;2
2;Jacob;m;2
2;Liselotte;w;2
2;Jannis;m;2
2;Livia;w;2
2;Jasper;m;2
2;Lotta;w;2
2;Jay;m;2
2;Lotte;w;2
2;Johan;m;2
2;Luna;w;2
2;Jordan;m;2
2;Mae;w;2
2;Jürgen;m;2
2;Marina;w;2
2;Kaan;m;2
2;Marlen;w;2
2;Konrad;m;2
2;Marlene;w;2
2;Lars;m;2
2;Martha;w;2
2;Lasse;m;2
2;Matea;w;2
2;Leander;m;2
2;Maya;w;2
2;Leano;m;2
2;Melanie;w;2
2;Leo;m;2
2;Merle;w;2
2;Leonard;m;2
2;Milica;w;2
2;Leonardo;m;2
2;Mo;w;2
2;Lucas;m;2
2;Nour;w;2
2;Ludwig;m;2
2;Ophelia;w;2
2;Malte;m;2
2;Paula;w;2
2;Marco;m;2
2;Pauline;w;2
2;Matthias;m;2
2;Pia;w;2
2;Maxim;m;2
2;Rose;w;2
2;Michel;m;2
2;Sarah;w;2
2;Milan;m;2
2;Susanne;w;2
2;Milo;m;2
2;Tabea;w;2
2;Mladenova;m;2
2;Teresa;w;2
2;Mohamed;m;2
2;Valentina;w;2
2;Musa;m;2
2;Victoria;w;2
2;Nepomuk;m;2
2;Viviana;w;2
2;Nicolai;m;2
2;Vivien;w;2
2;Nicolas;m;2
2;Nils;m;2
2;Oke;m;2
2;Orion;m;2
2;Osman;m;2
2;Otto;m;2
2;Patrick;m;2
2;Philipp;m;2
2;Raphael;m;2
2;Robert;m;2
2;Ruben;m;2
2;Rudolf;m;2
2;Said;m;2
2;Sam;m;2
2;Sascha;m;2
2;Sathya;m;2
2;Siegfried;m;2
2;Simon;m;2
2;Sven;m;2
2;Vincent;m;2
2;Werner;m;2
2;Wiktor;m;2
2;Wolfgang;m;2
2;Yusuf;m;2
2;Adelina;w;1
2;Aisha;w;1
2;Alba;w;1
2;Alena;w;1
2;Alexandra;w;1
2;Alicia;w;1
2;Amali;w;1
2;Amina;w;1
2;Amy;w;1
2;Amélie;w;1
2;Anika;w;1
2;Anisa;w;1
2;Annabelle;w;1
2;Anni;w;1
2;Arina;w;1
2;Asel;w;1
2;Ashley;w;1
2;Azra;w;1
2;Carolina;w;1
2;Charlie;w;1
2;Charlotta;w;1
2;Clea;w;1
2;Dalia;w;1
2;Abdullah;m;1
2;Dalija;w;1
2;Ahmed;m;1
2;Dima;w;1
2;Alan;m;1
2;Djamila;w;1
2;Alfred;m;1
2;Eda;w;1
2;Amar;m;1
2;Edda;w;1
2;Antoni;m;1
2;Eleni;w;1
2;Antonio;m;1
2;Eleonore;w;1
2;Ayhan;m;1
2;Elif;w;1
2;Azad;m;1
2;Elin;w;1
2;Bela;m;1
2;Elli;w;1
2;Bene;m;1
2;Ellie;w;1
2;Benedikt;m;1
2;Enna;w;1
2;Berkay;m;1
2;Estelle;w;1
2;Bilal;m;1
2;Esther;w;1
2;Bo;m;1
2;Evelyn;w;1
2;Bogdan;m;1
2;Fatima;w;1
2;Brian;m;1
2;Fatme;w;1
2;Carlo;m;1
2;Felina;w;1
2;Carlos;m;1
2;Feline;w;1
2;Caspar;m;1
2;Florentine;w;1
2;Christian;m;1
2;Helene;w;1
2;Cihan;m;1
2;Henriette;w;1
2;Connor;m;1
2;Hira;w;1
2;Darius;m;1
2;Irma;w;1
2;Devin;m;1
2;Jeanne;w;1
2;Edward;m;1
2;Jette;w;1
2;Elijah;m;1
2;Joleen;w;1
2;Eliyas;m;1
2;Jolina;w;1
2;Eman;m;1
2;Josephine;w;1
2;Emirhan;m;1
2;Kaja;w;1
2;Finjas;m;1
2;Kalina;w;1
2;Flynn;m;1
2;Karina;w;1
2;Franz;m;1
2;Käthe;w;1
2;Fridolin;m;1
2;Larissa;w;1
2;Gregor;m;1
2;Lavin;w;1
2;Hadi;m;1
2;Layan;w;1
2;Hannes;m;1
2;Leen;w;1
2;Hassan;m;1
2;Lenja;w;1
2;Helge;m;1
2;Leonora;w;1
2;Henrik;m;1
2;Liara;w;1
2;Henryk;m;1
2;Lilith;w;1
2;Hugo;m;1
2;Lilli;w;1
2;Ian;m;1
2;Liya;w;1
2;Ibrahim;m;1
2;Lorelei;w;1
2;Iggy;m;1
2;Louise;w;1
2;Ilay;m;1
2;Lucia;w;1
2;Ilias;m;1
2;Lucie;w;1
2;Ilja;m;1
2;Lucy;w;1
2;Ismail;m;1
2;Luzie;w;1
2;Jamie;m;1
2;Lydia;w;1
2;Janek;m;1
2;Magdalena;w;1
2;Janne;m;1
2;Maila;w;1
2;Jannik;m;1
2;Malina;w;1
2;Jarek;m;1
2;Marta;w;1
2;Jaron;m;1
2;Mavi;w;1
2;Jasin;m;1
2;Mayla;w;1
2;Jason;m;1
2;Medina;w;1
2;Jesse;m;1
2;Melek;w;1
2;Jonne;m;1
2;Merida;w;1
2;Joon;m;1
2;Meyra;w;1
2;Joscha;m;1
2;Miley;w;1
2;Josia;m;1
2;Milla;w;1
2;Junis;m;1
2;Miray;w;1
2;Khalil;m;1
2;Nala;w;1
2;Kirill;m;1
2;Naya;w;1
2;Kurt;m;1
2;Nejla;w;1
2;Kuzey;m;1
2;Nella;w;1
2;Leander;m;1
2;Nika;w;1
2;Leano;m;1
2;Nilay;w;1
2;Leif;m;1
2;Nisa;w;1
2;Lennard;m;1
2;Nuria;w;1
2;Levy;m;1
2;Olga;w;1
2;Lias;m;1
2;Oliwia;w;1
2;Liyan;m;1
2;Oona;w;1
2;Lounis;m;1
2;Philine;w;1
2;Lovis;m;1
2;Philippa;w;1
2;Maddox;m;1
2;Rahel;w;1
2;Mahmoud;m;1
2;Ruby;w;1
2;Marek;m;1
2;Runa;w;1
2;Marlon;m;1
2;Shirin;w;1
2;Marten;m;1
2;Sonja;w;1
2;Matheo;m;1
2;Tala;w;1
2;Mattheo;m;1
2;Vanessa;w;1
2;Metehan;m;1
2;Viktoria;w;1
2;Mian;m;1
2;Wanda;w;1
2;Michał;m;1
2;Yusra;w;1
2;Mikail;m;1
2;Zaya;w;1
2;Mikal;m;1
2;Mikołaj;m;1
2;Milian;m;1
2;Miraç;m;1
2;Mouhamed;m;1
2;Mustafa;m;1
2;Nelio;m;1
2;Neo;m;1
2;Niko;m;1
2;Nikolas;m;1
2;Noam;m;1
2;Nuri;m;1
2;Olivier;m;1
2;Omar;m;1
2;Oscar;m;1
2;Phileas;m;1
2;Philipp;m;1
2;Phillip;m;1
2;Quinn;m;1
2;Roman;m;1
2;Samir;m;1
2;Selim;m;1
2;Taym;m;1
2;Thiago;m;1
2;Timur;m;1
2;Valentino;m;1
2;Victor;m;1
2;Vito;m;1
2;Willi;m;1
2;William;m;1
2;Wojciech;m;1
2;Wolf;m;1
2;Yannick;m;1
2;Yannik;m;1
1;Hope;w;6
1;Levin;m;5
1;Aslıhan;w;5
1;Djomo;w;5
1;Abdelhamid;m;4
1;Anandarupa;m;4
1;Antonia;w;4
1;Bo;m;4
1;Edewede;w;4
1;Frank;m;4
1;Ella;w;4
1;Friedrich;m;4
1;Emmanuel;w;4
1;Gideon;m;4
1;Fenne;w;4
1;Hugo;m;4
1;Frances;w;4
1;Konrad;m;4
1;Helen;w;4
1;Marcel;m;4
1;Jess;w;4
1;Mondsohn;m;4
1;Jolie;w;4
1;Moritz;m;4
1;Leya;w;4
1;Nael;m;4
1;Malike;w;4
1;Pepe;m;4
1;Marie;w;4
1;Siegfried;m;4
1;Nathaniele;w;4
1;Silvester;m;4
1;Robeka;w;4
1;Theodor;m;4
1;Rose;w;4
1;Adele;w;3
1;Adetola;w;3
1;Afetorgbor;w;3
1;Ajoke-Abisola;w;3
1;Alea;w;3
1;Alexandra;w;3
1;Aleyna;w;3
1;Alisha;w;3
1;Alyda;w;3
1;Amalia;w;3
1;Andrée;w;3
1;Achilles;m;3
1;Angelika;w;3
1;Advay;m;3
1;Anna;w;3
1;Albert;m;3
1;Annegret;w;3
1;Alfred;m;3
1;Antonia;w;3
1;Alistair;m;3
1;Antonina;w;3
1;Anton;m;3
1;Ariane;w;3
1;Antonio;m;3
1;Aurelia;w;3
1;Artin;m;3
1;Bianca;w;3
1;August;m;3
1;Blossom;w;3
1;Aurel;m;3
1;Bruni;w;3
1;Avien;m;3
1;Celestina;w;3
1;Bao;m;3
1;Chanell;w;3
1;Bego;m;3
1;Christina;w;3
1;Benedict;m;3
1;Clara;w;3
1;Benyamin;m;3
1;Claudia;w;3
1;Bernie;m;3
1;Edith;w;3
1;Boaz;m;3
1;Elli;w;3
1;Bodo;m;3
1;Elly;w;3
1;Brown;m;3
1;Elsa;w;3
1;Charlie;m;3
1;Emma;w;3
1;Claus;m;3
1;Esme;w;3
1;Cormac;m;3
1;Evangeline;w;3
1;Cornelius;m;3
1;Felicitas;w;3
1;Cy;m;3
1;Flora;w;3
1;Daniel;m;3
1;Genilde;w;3
1;David;m;3
1;Gerda;w;3
1;Dean;m;3
1;Gertrud;w;3
1;Dieter;m;3
1;Greta;w;3
1;Eberhard;m;3
1;Hatun;w;3
1;Ehi;m;3
1;Helene;w;3
1;Eid;m;3
1;Henriette;w;3
1;Emmanuel;m;3
1;Hiba;w;3
1;Felix;m;3
1;Hind;w;3
1;Fenrir;m;3
1;Hélène;w;3
1;Fidelius;m;3
1;Illiyiin;w;3
1;Frank;m;3
1;Ilona;w;3
1;Franko;m;3
1;Inge;w;3
1;Fritz;m;3
1;Irene;w;3
1;Frédéric;m;3
1;Jahra;w;3
1;Govinda;m;3
1;Jeanne;w;3
1;Gwendolyn;m;3
1;Josefin;w;3
1;Heinz;m;3
1;Juna;w;3
1;Helma;m;3
1;Karla;w;3
1;Hendrik;m;3
1;Leda;w;3
1;Herbert;m;3
1;Leonie;w;3
1;Hubertus;m;3
1;Levante;w;3
1;Ibrahim;m;3
1;Libertas;w;3
1;Ingo;m;3
1;Lilly;w;3
1;Isatis;m;3
1;Louanne;w;3
1;Ismet;m;3
1;Louise;w;3
1;Johann;m;3
1;Lydia;w;3
1;Josephus;m;3
1;Madeleine;w;3
1;Junior;m;3
1;Maja;w;3
1;Junison;m;3
1;Malika;w;3
1;Jörnson;m;3
1;Margaretha;w;3
1;Jürgen;m;3
1;Marion;w;3
1;Kilian;m;3
1;Marlene;w;3
1;Klaus;m;3
1;Mavi;w;3
1;Kwesi;m;3
1;Mechthild;w;3
1;Laine;m;3
1;Milda;w;3
1;Larsen;m;3
1;Minerva;w;3
1;Leopold;m;3
1;Mira;w;3
1;Levi;m;3
1;Miztli;w;3
1;Liam;m;3
1;Monika;w;3
1;Lillebror;m;3
1;Monique;w;3
1;Linh;m;3
1;Moon;w;3
1;Linus;m;3
1;Naima;w;3
1;Loic;m;3
1;Nana;w;3
1;Lounis;m;3
1;Nea;w;3
1;Luan;m;3
1;Ngozie;w;3
1;Ludwig;m;3
1;Nilla;w;3
1;Magnus;m;3
1;Nour;w;3
1;Manfred;m;3
1;Noëlle;w;3
1;Marcel;m;3
1;Nur;w;3
1;Maria;m;3
1;Omotoke;w;3
1;Marko;m;3
1;Pamela;w;3
1;Marten;m;3
1;Paula;w;3
1;Maximilian;m;3
1;Pauline;w;3
1;Michael;m;3
1;Pearl;w;3
1;Mike;m;3
1;Philia;w;3
1;Muteti;m;3
1;Philippe;w;3
1;Nail;m;3
1;Popova;w;3
1;Nazar;m;3
1;Sienna;w;3
1;Nicholas;m;3
1;Sonja;w;3
1;Nnamdi;m;3
1;Thankgod;w;3
1;Noah;m;3
1;Theresa;w;3
1;Nour;m;3
1;Uly;w;3
1;Otto;m;3
1;Valentina;w;3
1;Pieter;m;3
1;Valerie;w;3
1;Prince;m;3
1;Veronica;w;3
1;Raban;m;3
1;Victoria;w;3
1;Radoměr;m;3
1;Viktoria;w;3
1;Reinhard;m;3
1;Viky;w;3
1;Robbin;m;3
1;Vy;w;3
1;Rolf;m;3
1;Wilhelmine;w;3
1;Rudi;m;3
1;Yennenga;w;3
1;Rudolf;m;3
1;Åland;w;3
1;Salko;m;3
1;Đan;w;3
1;Sascha;m;3
1;Siegfried;m;3
1;Simon;m;3
1;Sivert;m;3
1;Tahar;m;3
