anzahl;vorname;geschlecht;position
12;Marie;w;2
11;Sophie;w;2
11;Felix;m;1
11;Emilia;w;1
11;Paul;m;1
10;Charlotte;w;1
10;Anton;m;1
10;Ella;w;1
10;Linus;m;1
9;Paul;m;2
9;Lena;w;1
9;Ben;m;1
9;Leon;m;1
9;Maximilian;m;1
9;Noah;m;1
8;Elisabeth;w;2
8;Luise;w;2
8;Lara;w;1
8;Mia;w;1
7;Maria;w;2
7;Leonie;w;1
7;Lia;w;1
7;Emil;m;1
7;Mathilda;w;1
7;Fritz;m;1
7;Henry;m;1
7;Jonas;m;1
7;Lukas;m;1
7;Matteo;m;1
7;Moritz;m;1
6;Emma;w;1
6;Frieda;w;1
6;Ida;w;1
6;Jasmin;w;1
6;Karla;w;1
6;Lotta;w;1
6;Elias;m;1
6;Marlene;w;1
6;Jonathan;m;1
6;Merle;w;1
6;Liam;m;1
6;Mila;w;1
6;Theo;m;1
6;Sophia;w;1
5;Alexander;m;2
5;Elias;m;2
5;Emil;m;2
5;Martin;m;2
5;Valentin;m;2
5;Charlotte;w;2
5;Marlene;w;2
5;Rose;w;2
5;Valentina;w;2
5;Adam;m;1
5;Emily;w;1
5;Konstantin;m;1
5;Hailey;w;1
5;Lasse;m;1
5;Hanna;w;1
5;Leo;m;1
5;Lina;w;1
5;Lino;m;1
5;Mara;w;1
5;Oskar;m;1
5;Mira;w;1
5;Pepe;m;1
5;Nora;w;1
5;Till;m;1
5;Paula;w;1
5;Sophie;w;1
4;Friedrich;m;2
4;Carlotta;w;2
4;Mathilda;w;2
4;Arthur;m;1
4;David;m;1
4;Alva;w;1
4;Erik;m;1
4;Anna;w;1
4;Finn;m;1
4;Helena;w;1
4;Jonah;m;1
4;Johanna;w;1
4;Leopold;m;1
4;Leni;w;1
4;Luca;m;1
4;Luna;w;1
4;Luke;m;1
4;Minna;w;1
4;Max;m;1
4;Valentina;w;1
4;Oliver;m;1
4;Valentin;m;1
4;Vincent;m;1
3;Sophie;w;3
3;Dean;m;2
3;Gabriel;m;2
3;Henry;m;2
3;Johann;m;2
3;Leon;m;2
3;Amalia;w;2
3;Maximilian;m;2
